timestamp,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_bias[0],accel_bias[1],accel_bias[2]
101192000,-0.001333915,-0.006000723,-6.89E-05,-0.21626493,0.14969318,-0.013121664
102192000,-0.001305702,-0.005995995,-0.000118324,-0.21630354,0.14863633,-0.014191947
103200000,-0.001300211,-0.005992659,-0.000136476,-0.21608669,0.14825925,-0.014626043
104192000,-0.001294899,-0.005996061,-0.000139022,-0.21590464,0.14719956,-0.014299403
105192000,-0.001294321,-0.00599597,-0.00013514,-0.21563418,0.1471615,-0.013768121
106192000,-0.001290507,-0.005994909,-0.000134619,-0.21534401,0.14722426,-0.013665926
107192000,-0.001284662,-0.005986438,-0.000143866,-0.21531005,0.14836597,-0.013545802
108192000,-0.001267234,-0.005973746,-0.000157561,-0.2154224,0.15006177,-0.013600183
109192000,-0.001238467,-0.005966797,-0.000165697,-0.2157166,0.15144363,-0.014006213
110192000,-0.001199093,-0.005956702,-0.000177229,-0.2163125,0.15304014,-0.013753573
111192000,-0.001149514,-0.005947737,-0.000188381,-0.21716261,0.15473245,-0.013165128
112192000,-0.001106677,-0.005952007,-0.000188352,-0.21826296,0.1563625,-0.010828714
113192000,-0.001064976,-0.005951138,-0.000194757,-0.21920906,0.15761934,-0.007942293
114192000,-0.001025774,-0.005947916,-0.000204899,-0.22005843,0.15894473,-0.005118514
115192000,-0.000994405,-0.005936581,-0.000201499,-0.2208344,0.15991937,-0.003038788
116192000,-0.000975237,-0.005923126,-0.000194422,-0.2210989,0.16045962,-0.001698006
117192000,-0.000964037,-0.005913977,-0.000190251,-0.22117673,0.16058356,-0.000113986
118192000,-0.000966619,-0.005912656,-0.000182466,-0.22150043,0.16066037,0.000934318
119192000,-0.000975235,-0.005911108,-0.00016959,-0.22180799,0.16078101,0.002343386
120192000,-0.000988375,-0.005917199,-0.00015991,-0.2228298,0.16030046,0.002397199
121192000,-0.000999699,-0.005912871,-0.000162234,-0.22375746,0.16052164,0.002182752
122192000,-0.001014479,-0.00591185,-0.000158975,-0.22413859,0.16044533,0.00101266
123192000,-0.001018428,-0.005909044,-0.000160924,-0.22428957,0.16066375,-0.000802116
124192000,-0.001020074,-0.005912926,-0.000157341,-0.2241935,0.1610964,-0.002803721
