timestamp,pressure,temperature
101524000,960.2115,12.069824
101620000,960.2221,12.069366
101716000,960.2072,12.068909
101812000,960.21735,12.068451
101908000,960.1959,12.068024
102004000,960.1726,12.067627
102124000,960.1885,12.067139
102220000,960.17883,12.066803
102316000,960.18,12.066467
102412000,960.1631,12.066193
102508000,960.1814,12.065918
102604000,960.13885,12.065704
102724000,960.14935,12.06546
102820000,960.1328,12.065308
102916000,960.1317,12.065186
103012000,960.13995,12.065094
103108000,960.13367,12.065033
103204000,960.1393,12.065002
103324000,960.1583,12.064972
103420000,960.12274,12.065002
103516000,960.12805,12.065033
103612000,960.1314,12.065094
103708000,960.14844,12.065186
103804000,960.14343,12.065277
103900000,960.153,12.065399
104020000,960.15326,12.065582
104116000,960.1618,12.065735
104212000,960.1527,12.065887
104308000,960.1655,12.066071
104404000,960.1644,12.066254
104500000,960.1708,12.066437
104620000,960.15717,12.066711
104716000,960.18933,12.066895
104812000,960.16833,12.067108
104908000,960.18506,12.067322
105008000,960.1775,12.067566
105124000,960.1786,12.067841
105220000,960.1945,12.068054
105316000,960.2101,12.068268
105412000,960.2121,12.068481
105508000,960.1996,12.068695
105604000,960.20886,12.068909
105700000,960.21436,12.069122
105820000,960.2141,12.069397
105916000,960.21265,12.069611
106012000,960.2303,12.069794
106108000,960.2202,12.070007
106204000,960.2241,12.07019
106324000,960.2386,12.070435
106424000,960.2291,12.070618
106516000,960.2475,12.070801
106612000,960.2565,12.070984
106708000,960.2417,12.071167
106804000,960.2458,12.07132
106924000,960.26044,12.071533
107020000,960.2663,12.071686
107116000,960.2449,12.071838
107212000,960.2679,12.071991
107308000,960.2681,12.072144
107404000,960.26715,12.072296
107524000,960.26794,12.072449
107620000,960.27875,12.072571
107716000,960.27655,12.072723
107812000,960.2791,12.072845
107908000,960.2722,12.072968
108004000,960.27765,12.07309
108100000,960.2836,12.073181
108220000,960.28253,12.073334
108316000,960.2814,12.073456
108412000,960.295,12.073547
108508000,960.30054,12.073639
108604000,960.29224,12.07373
108704000,960.3068,12.073853
108820000,960.2963,12.073944
108916000,960.28937,12.074036
109012000,960.2895,12.074127
109108000,960.30164,12.074219
109208000,960.297,12.07431
109300000,960.29913,12.074402
109420000,960.2909,12.074524
109516000,960.3132,12.0746155
109612000,960.3111,12.074707
109708000,960.29706,12.074799
109804000,960.3089,12.07489
109924000,960.32886,12.075043
110020000,960.323,12.075134
110116000,960.3177,12.075226
110212000,960.3218,12.075317
110308000,960.33386,12.075409
110404000,960.3239,12.0755005
110524000,960.3468,12.075592
110620000,960.3374,12.075653
110716000,960.3199,12.075684
110812000,960.34155,12.075714
110908000,960.31824,12.075714
111004000,960.34357,12.075714
111100000,960.33496,12.075653
111220000,960.3468,12.075562
111316000,960.30316,12.07547
111412000,960.3252,12.075378
111512000,960.31433,12.075256
111604000,960.3255,12.075165
111724000,960.32587,12.075043
111820000,960.32336,12.074951
111916000,960.31586,12.07489
112012000,960.30536,12.074829
112108000,960.311,12.074768
112204000,960.3142,12.074738
112324000,960.3165,12.074799
112420000,960.31824,12.074921
112516000,960.32544,12.075165
112612000,960.3106,12.075592
112708000,960.3184,12.076141
112808000,960.343,12.076874
112924000,960.36914,12.078003
113020000,960.3906,12.079071
113116000,960.3957,12.080292
113216000,960.4206,12.0816345
113308000,960.45374,12.08313
113404000,960.48425,12.084686
113524000,960.5268,12.086792
113620000,960.547,12.088562
113716000,960.57996,12.090393
113812000,960.6158,12.092255
113908000,960.65186,12.094147
114008000,960.6857,12.096069
114124000,960.7326,12.098419
114220000,960.75604,12.100281
114316000,960.8014,12.102112
114412000,960.83374,12.103851
114508000,960.84827,12.105499
114604000,960.8915,12.107056
114724000,960.9208,12.108826
114820000,960.9377,12.110046
