timestamp,control[0],control[1],control[2],control[3],control[4]
181484000,0.010595383,0.052442443,-0.11855393,0.2130852,0
181488000,0.009935746,0.052434772,-0.11828136,0.2130852,0
181492000,0.009330921,0.052056536,-0.11731853,0.2130852,0
181496000,0.010363007,0.052279465,-0.1173918,0.21356463,0
181500000,0.010315353,0.052134894,-0.117431626,0.21356463,0
181504000,0.010762002,0.052085247,-0.11744579,0.21356463,0
181508000,0.011059962,0.052160382,-0.117428,0.21356463,0
181512000,0.010876097,0.052229825,-0.117346644,0.21356463,0
181516000,0.010437073,0.052271616,-0.11723067,0.21356463,0
181520000,0.011347912,0.05266837,-0.117248,0.21408556,0
181524000,0.011233067,0.052631497,-0.117192805,0.21408556,0
181528000,0.011213224,0.05258502,-0.11705155,0.21408556,0
181532000,0.01110776,0.052548118,-0.11687387,0.21408556,0
181536000,0.011013389,0.052549023,-0.11673792,0.21408556,0
181540000,0.010979002,0.05260026,-0.116682746,0.21408556,0
181544000,0.012197053,0.0530041,-0.116798274,0.21464272,0
181548000,0.011828762,0.053059388,-0.116848506,0.21464272,0
181556000,0.011498589,0.053133585,-0.11673708,0.21464272,0
181560000,0.01121396,0.05314837,-0.116566926,0.21464272,0
181564000,0.01063979,0.053139463,-0.116421975,0.21464272,0
181568000,0.011660192,0.053459533,-0.116369344,0.21524556,0
181572000,0.011658281,0.053480834,-0.11624262,0.21524556,0
181576000,0.011612307,0.0535143,-0.11615161,0.21524556,0
181580000,0.011348585,0.053567868,-0.11606946,0.21524556,0
181584000,0.011090398,0.053680718,-0.11599661,0.21524556,0
181588000,0.010955419,0.053742968,-0.11599218,0.21524556,0
181592000,0.011876026,0.053411707,-0.11447675,0.21588436,0
181596000,0.0116708,0.053454164,-0.114487976,0.21588436,0
181600000,0.011354618,0.053464744,-0.11444607,0.21588436,0
181608000,0.010367395,0.053401843,-0.11423017,0.21588436,0
181612000,0.010166887,0.053417496,-0.11415085,0.21588436,0
181616000,0.011363503,0.0538563,-0.11419933,0.21610186,0
181620000,0.011184402,0.053825468,-0.11417258,0.21610186,0
181624000,0.011256877,0.053818975,-0.11405777,0.21610186,0
181628000,0.011271071,0.053919025,-0.11388454,0.21610186,0
181632000,0.010973597,0.0540958,-0.1137851,0.21610186,0
181636000,0.010644112,0.054220513,-0.11370335,0.21610186,0
181640000,0.011854086,0.054698586,-0.113676004,0.2163787,0
181644000,0.011716425,0.05466108,-0.11359278,0.2163787,0
181648000,0.011751285,0.05454519,-0.11359125,0.2163787,0
181652000,0.011943415,0.054467168,-0.113604195,0.2163787,0
181656000,0.011740176,0.054506507,-0.11353253,0.2163787,0
181660000,0.0116402,0.054727405,-0.11353464,0.2163787,0
181664000,0.012831589,0.055182632,-0.113557436,0.21669929,0
181668000,0.012003893,0.05529498,-0.113368,0.21669929,0
181672000,0.01149608,0.05517052,-0.113298,0.21669929,0
181676000,0.011325734,0.055093292,-0.11329387,0.21669929,0
181680000,0.011379195,0.055171017,-0.1133181,0.21669929,0
181684000,0.011595132,0.055316597,-0.11326387,0.21669929,0
181688000,0.012904789,0.05580087,-0.11323097,0.21706988,0
181692000,0.012660088,0.056298785,-0.11418855,0.21706988,0
181696000,0.01238321,0.056295633,-0.114095815,0.21706988,0
181700000,0.012553997,0.05623001,-0.113968186,0.21706988,0
181704000,0.012355696,0.056247823,-0.11389161,0.21706988,0
