timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius
24568000,-0.86450255,0.24141243,0.36011776,0.10088108,-20.49489,177.88649,55.987965
25072000,-0.83345366,0.25428838,0.18867138,0.05086914,-11.318377,172.70572,56.052113
25576000,-0.7466433,0.26415926,0.057870056,0.009813845,-4.0576487,165.89172,55.999153
26056000,-0.5950408,0.27147242,-0.03731704,-0.022690032,1.2686464,157.95047,55.979996
26560000,-0.3716102,0.27744627,-0.08616914,-0.041638426,4.0094814,148.58981,56.111515
27064000,-0.15981579,0.28212938,-0.100455716,-0.04924704,4.8034544,138.79114,56.05104
27568000,-0.019796712,0.28539842,-0.09773387,-0.05044843,4.6208873,128.96011,55.682926
28072000,0.06197106,0.28722757,-0.07761046,-0.043671425,3.461781,119.261856,55.022022
28576000,0.08468277,0.2878346,-0.056976095,-0.035681,2.3026748,109.70324,54.422794
29079999,0.07164599,0.28784248,-0.04176423,-0.02925947,1.4628665,100.25232,53.96378
29560000,-0.33167058,0.2879044,-0.02498211,-0.02498211,41.22609,91.30535,53.62267
30064000,-0.5377786,0.28844288,-0.015904717,-0.015904717,31.876122,81.95356,53.460823
30568000,-0.6913801,0.29013684,0,0,22.53392,72.65449,53.429676
31072000,-0.7689256,0.29294288,0.03579984,0.03579984,13.667042,63.55756,53.44777
31576000,-0.36032826,0.29671746,0.1105687,0.10668189,-6.6609764,55.106197,53.3329
32080000,0.43135312,0.30095565,0.78540784,1.402171,46.65925,277.96777,52.971584
32560000,0.87266463,0.30324605,0.78540784,1.4303119,39.448273,281.83792,51.818195
33064000,0.87266463,0.30394295,0.9111337,1.4605253,31.388948,285.2278,51.217968
33568000,0.87266463,0.13270682,1.0831954,1.4908104,22.905449,286.68503,48.89023
34072000,0.8628688,0.036887124,1.2450448,1.5188829,14.846125,286.12238,46.391106
34576000,0.8386372,0.005882624,1.4205153,1.5468743,6.7868,283.98648,45.331146
35080000,0.8128349,-0.002254901,1.5802206,1.5722913,-0.424175,280.38617,45.00987
35560000,0.76398814,0.002455458,1.7030076,1.5923374,-5.93845,275.5733,45.047516
36064000,0.66799027,0.01424873,1.8061751,1.6101949,-10.604375,269.09293,45.471107
36568000,0.49546337,0.028639613,1.8492603,1.6194808,-12.72525,261.4756,46.29398
37072000,0.2738922,0.042508885,1.8530668,1.6227183,-13.149424,253.27136,47.208904
37576000,0.049829222,0.05564466,1.8211633,1.6193222,-11.8769,244.8943,47.937214
38080000,-0.10987453,0.06466356,1.7744248,1.6120366,-9.756024,236.54372,48.243637
38560000,-0.1814328,0.068647325,1.730134,1.6041788,-7.63515,228.66203,48.121418
39064000,-0.20788664,0.070657276,1.6772205,1.5938735,-5.0901,220.39052,47.918877
39568000,-0.18275023,0.07255735,1.641943,1.5867932,-3.3934,212.07549,47.73615
40072000,-0.14977607,0.073077165,1.6064574,1.5791086,-1.6967,203.69032,47.588642
40576000,-0.101741806,0.0738095,1.5886768,1.5751268,-0.84835,195.26448,47.448235
41080000,-0.06763021,0.073714264,1.5707964,1.5707841,0,186.83206,47.31996
41560000,-0.02836674,0.07280489,1.5707964,1.5707846,0,178.81218,47.23565
42064000,-0.003030766,0.073128924,1.5707964,1.5707852,0,170.40764,47.149715
42568000,0.009166339,0.07287351,1.5707964,1.5707856,0,162.02718,47.05329
43072000,0.012154701,0.072393484,1.5707964,1.5707862,0,153.68742,46.924614
43576000,0.010324221,0.07178075,1.5707964,1.5707868,0,145.37125,46.807457
