timestamp,ref_lat,ref_lon,x,y,z,vx,vy,vz,ax,ay,az,dist_bottom
16360000,39.8714137,32.7364368,-11.408794,101.16308,-20.427708,-0.57199806,20.157583,-5.5462494,2.5037756,-0.0836139,0.6634248,20.58338
16464000,39.8714137,32.7364368,-11.463129,103.27676,-21.014147,-0.32087222,20.155441,-5.485842,2.3804,-0.1533348,0.6024148,21.169819
16568000,39.8714137,32.7364368,-11.491466,105.39193,-21.59288,-0.08101162,20.149399,-5.4339657,2.3025997,-0.17642345,0.5065566,21.748552
16664000,39.8714137,32.7364368,-11.49457,107.3394,-22.121977,0.12736535,20.135014,-5.3885517,2.1449866,-0.18681678,0.43375602,22.277649
16760000,39.8714137,32.7364368,-11.480385,109.28654,-22.64692,0.32274023,20.119194,-5.3495946,1.9557251,-0.26878643,0.48194543,22.802591
16864000,39.8714137,32.7364368,-11.442371,111.39108,-23.20987,0.52325594,20.094494,-5.309663,1.8776116,-0.34090665,0.47954914,23.365541
16960000,39.8714137,32.7364368,-11.390458,113.337265,-23.725378,0.6929164,20.075428,-5.2743726,1.7095225,-0.26459664,0.35196075,23.88105
17064000,39.8714137,32.7364368,-11.314543,115.43827,-24.277658,0.86406976,20.052015,-5.241755,1.5760974,-0.2860548,0.39673036,24.43333
17160000,39.8714137,32.7364368,-11.233038,117.37794,-24.785866,1.0053747,20.028086,-5.2165675,1.5131686,-0.32645485,0.32030603,24.941538
17264000,39.8714137,32.7364368,-11.127614,119.47203,-25.334164,1.1454462,20.000244,-5.1878996,1.3421715,-0.33750057,0.2547968,25.489836
17360000,39.8714137,32.7364368,-11.020313,121.40614,-25.837992,1.2582957,19.97751,-5.1665745,1.1755649,-0.29826698,0.27787033,25.993664
17464000,39.8714137,32.7364368,-10.889713,123.49391,-26.380579,1.3661555,19.954899,-5.138667,1.0561848,-0.3503328,0.3237752,26.536251
17560000,39.8714137,32.7364368,-10.762819,125.42093,-26.878052,1.451827,19.933731,-5.117321,0.9123962,-0.3122608,0.21315086,27.033724
17664000,39.8714137,32.7364368,-10.61361,127.5017,-27.41342,1.5345886,19.906689,-5.098095,0.76596624,-0.30660045,0.11238176,27.569092
17760000,39.8714137,32.7364368,-10.470409,129.42647,-27.904861,1.5971509,19.886778,-5.0821342,0.60875106,-0.22188038,0.13699102,28.060534
17864000,39.8714137,32.7364368,-10.306519,131.50423,-28.434994,1.6527528,19.862913,-5.0695324,0.5032492,-0.24465935,0.20099616,28.590666
17960000,39.8714137,32.7364368,-10.155036,133.42357,-28.924368,1.6903796,19.843441,-5.0567327,0.41469446,-0.22213113,0.16096699,29.08004
18064000,39.8714137,32.7364368,-9.984635,135.4967,-29.452646,1.7241404,19.822895,-5.0451107,0.40041474,-0.23804161,0.08368305,29.608318
18160000,39.8714137,32.7364368,-9.826181,137.41125,-29.939335,1.7450435,19.804707,-5.0369296,0.26493442,-0.16372766,0.075334676,30.095007
18264000,39.8714137,32.7364368,-9.650161,139.47958,-30.466898,1.7588122,19.786022,-5.02919,0.1452069,-0.10833446,0.16808788,30.62257
18360000,39.8714137,32.7364368,-9.488746,141.3874,-30.951855,1.7596,19.768917,-5.022395,-0.004635862,-0.22880685,0.089376226,31.107527
18464000,39.8714137,32.7364368,-9.312028,143.44931,-31.474985,1.7553545,19.748316,-5.011436,-0.110743344,-0.2863607,0.14537665,31.630657
18560000,39.8714137,32.7364368,-9.151655,145.35507,-31.957893,1.7417303,19.732737,-5.002171,-0.09477377,-0.1709964,0.1188144,32.113564
18664000,39.8714137,32.7364368,-8.977699,147.41519,-32.479595,1.7237313,19.715975,-4.990455,-0.19660592,-0.19645597,0.21301767,32.635265
18760000,39.8714137,32.7364368,-8.820824,149.31618,-32.959476,1.7008048,19.703527,-4.9805694,-0.19085361,-0.23345159,0.05951337,33.115147
18864000,39.8714137,32.7364368,-8.652195,151.3718,-33.47864,1.6705629,19.686502,-4.966919,-0.27331582,-0.20795897,0.17655453,33.63431
18960000,39.8714137,32.7364368,-8.501555,153.2681,-33.955544,1.6368521,19.673038,-4.9540668,-0.35074222,-0.12931716,0.17167999,34.111214
19064000,39.8714137,32.7364368,-8.340686,155.31897,-34.47056,1.5980103,19.659426,-4.9433517,-0.47318554,-0.13619241,0.13983434,34.62623
19160000,39.8714137,32.7364368,-8.197365,157.20914,-34.944996,1.5594302,19.64619,-4.930744,-0.39537138,-0.16067572,0.16463454,35.100666
19264000,39.8714137,32.7364368,-8.045219,159.25375,-35.457977,1.5185794,19.632784,-4.9153647,-0.31522578,-0.09986711,0.09072478,35.613647
19360000,39.8714137,32.7364368,-7.9094973,161.14316,-35.930084,1.4755158,19.622902,-4.9034843,-0.43121472,-0.12082606,0.1785783,36.085754
19464000,39.8714137,32.7364368,-7.765809,163.18858,-36.440735,1.4293131,19.608984,-4.890007,-0.34221354,-0.20279944,0.19289273,36.596405
19560000,39.8714137,32.7364368,-7.6378584,165.07555,-36.910748,1.385334,19.594702,-4.876432,-0.42231074,-0.108980104,0.14722905,37.066418
19664000,39.8714137,32.7364368,-7.503234,167.11774,-37.419117,1.3372719,19.58352,-4.864582,-0.41404498,-0.04614354,0.18021649,37.574787
19760000,39.8714137,32.7364368,-7.383416,169.00117,-37.886116,1.2932184,19.571579,-4.846809,-0.4167666,-0.15979655,0.20519084,38.041786
19864000,39.8714137,32.7364368,-7.25762,171.03923,-38.389526,1.2466985,19.55999,-4.824693,-0.37205705,-0.14920695,0.25840196,38.545197
19960000,39.8714137,32.7364368,-7.1466,172.91765,-38.85239,1.2026606,19.54846,-4.8092656,-0.4291939,-0.117797166,0.10470673,39.00806
20064000,39.8714137,32.7364368,-7.031162,174.94989,-39.3512,1.1569287,19.534063,-4.795588,-0.44477037,-0.19283359,0.11140107,39.50687
20160000,39.8714137,32.7364368,-6.929323,176.82637,-39.808685,1.1168983,19.519146,-4.7813554,-0.35617915,-0.11809496,0.19353907,39.964355
