timestamp,altitude_sp,altitude_filtered,height_rate_setpoint,height_rate,airspeed_sp,airspeed_filtered,airspeed_derivative_sp,airspeed_derivative,throttle_integ,pitch_integ
22216000,49.87394,53.08493,0.37834004,5.6084075,13.288092,18.486917,-0.10397652,-1.5517297,-0.077132866,27.451864
22408000,49.956806,54.047195,0.027414143,4.441917,13.288789,18.038029,-0.0949848,-1.8638432,-0.08114141,28.253088
22624000,49.99518,54.85735,-0.15320885,3.0740366,13.289237,17.425655,-0.08272836,-1.902642,-0.085577,28.765465
22816000,50.008995,55.344154,-0.22810237,2.004144,13.289599,16.9994,-0.074195996,-1.806427,-0.08941264,28.93485
23008000,50.014946,55.642292,-0.2647098,1.0957342,13.2897835,16.6434,-0.06707233,-1.5924814,-0.09314549,28.90856
23224000,50.0177,55.781685,-0.28171426,0.221027,13.2899065,16.415329,-0.06250845,-1.2709079,-0.09722896,28.728497
23416000,50.018692,55.764896,-0.28451276,-0.4214764,13.289971,16.375402,-0.06170862,-0.9583751,-0.10081065,28.525059
23608000,50.01912,55.64225,-0.28001213,-0.9436836,13.289818,16.453503,-0.0632737,-0.67122734,-0.10438164,28.345411
23824000,50.019318,55.398582,-0.2684546,-1.4129748,13.289728,16.621187,-0.06662918,-0.3742901,-0.108409695,28.229107
24016000,50.01939,55.10441,-0.2539966,-1.7401018,13.2893915,16.817492,-0.070562,-0.14488466,-0.11200151,28.236364
24208000,50.01942,54.754658,-0.2366347,-1.9912065,13.28915,17.064556,-0.07550812,0.027107123,-0.11561934,28.38081
24424000,50.019424,54.30815,-0.21443634,-2.1952758,13.28915,17.298073,-0.08017845,0.12483153,-0.11969613,28.717056
24616000,50.019424,53.88143,-0.19310036,-2.3033433,13.28864,17.47947,-0.08381658,0.17223628,-0.1232904,29.165789
24808000,50.019424,53.443047,-0.17118111,-2.355998,13.288357,17.622593,-0.08668472,0.20104392,-0.12683408,29.750067
25024000,50.019424,52.940353,-0.14604644,-2.3630114,13.288054,17.716257,-0.08856405,0.23094024,-0.13072634,30.555172
25216000,50.019424,52.49393,-0.12372532,-2.324044,13.287794,17.763924,-0.089522585,0.26046026,-0.13405937,31.380438
25408000,50.019424,52.06042,-0.10204983,-2.2397952,13.287452,17.788185,-0.09001467,0.31297442,-0.13725927,32.29825
25624000,50.019424,51.596127,-0.07883511,-2.0890548,13.287261,17.842505,-0.091104865,0.362181,-0.14072187,33.445343
25816000,50.019424,51.213444,-0.059700966,-1.899178,13.287052,17.86774,-0.09161377,0.39719814,-0.14367606,34.55608
26008000,50.019424,50.870564,-0.042556953,-1.6604382,13.286879,17.915981,-0.092582054,0.39400378,-0.14652543,35.745228
26224000,50.019424,50.539417,-0.025999641,-1.3589197,13.28655,17.960361,-0.093476236,0.35062972,-0.1496486,37.179962
26416000,50.019424,50.298462,-0.013951874,-1.0628713,13.286423,17.943134,-0.09313423,0.27005276,-0.15232603,38.50726
26608000,50.019424,50.113052,-0.004681397,-0.7590873,13.286193,17.944979,-0.09317572,0.15430686,-0.15492877,39.872654
26824000,50.019424,49.973278,0.00230732,-0.42791024,13.286195,17.888895,-0.092054,-0.021148989,-0.15777634,41.43236
27016000,50.019424,49.90583,0.005679703,-0.16224879,13.286108,17.798845,-0.09025475,-0.1927747,-0.16022587,42.81091
27208000,50.019424,49.886417,0.006650352,0.06676515,13.286014,17.682661,-0.087932944,-0.3587996,-0.16259454,44.16005
27424000,50.019424,49.916138,0.005164337,0.29263246,13.286113,17.5164,-0.08460573,-0.5196526,-0.16516435,45.62246
27616000,50.019424,49.97932,0.002005196,0.44076908,13.286076,17.35667,-0.08141189,-0.627055,-0.16736491,46.857395
