timestamp,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature
260980000,78.805275,78.805275,12.265137
261988000,78.75559,78.75559,12.276001
263000000,79.11238,79.11238,12.286774
263983999,75.64498,75.64498,12.297211
264992000,74.63459,74.63459,12.307831
266000000,76.28574,76.28574,12.31839
266980000,73.685974,73.685974,12.328583
267988000,73.40773,73.40773,12.338867
268972000,71.69816,71.69816,12.348785
269980000,69.48252,69.48252,12.358856
270988000,68.92658,68.92658,12.368805
271996000,70.43744,70.43744,12.378754
272984000,70.80534,70.80534,12.388702
273992000,70.29195,70.29195,12.401428
274996000,1.6033491,1.6033491,12.404602
275984000,-1.1827624,-1.1827624,12.404602
276988000,-0.2635673,-0.2635673,12.404602
277996000,-0.5358061,-0.5358061,12.404602
