timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius
63147999,0.25706992,0.08369583,-3.0196261,-3.0166507,-7.3098555,47.216694,47.930984
63652000,0.77308947,0.09239519,-2.3849168,-1.7377261,37.982285,275.85373,48.55229
64132000,0.8083981,0.10317309,-2.246356,-1.7086027,29.916935,274.64694,49.641644
64636000,0.8519808,0.1179023,-2.0253677,-1.6767375,21.040995,272.60748,50.93618
65140000,0.861508,0.13428418,-1.8444551,-1.6464378,12.635821,269.35794,52.10963
65644000,0.84331375,0.14972824,-1.6805044,-1.6156756,4.2774105,264.59576,52.88088
66148000,0.7656885,0.1624517,-1.5556476,-1.5904925,-2.3288817,258.14307,53.090073
66652000,0.5835379,0.16974744,-1.4709859,-1.5724764,-6.7590566,250.10753,52.727394
67132000,0.30217066,0.17013092,-1.4401422,-1.5655129,-8.211881,241.62885,51.740707
67636000,0.020909615,0.16260864,-1.4479,-1.5671366,-7.535351,232.7539,49.88717
68140000,-0.13722423,0.14823851,-1.472647,-1.5726726,-6.0201745,224.34854,47.574806
68644000,-0.20001757,0.12985344,-1.5092936,-1.5805779,-4.0997047,216.42108,45.4955
69148000,-0.2139621,0.112219915,-1.5501328,-1.5890737,-2.179235,208.7796,44.13598
69652000,-0.19651724,0.097495936,-1.5835584,-1.5960763,-0.69211745,201.26662,43.340748
70132000,-0.16249092,0.08816146,-1.6079667,-1.6013784,0.36164713,194.15059,42.85794
70636000,-0.12576692,0.08232775,-1.6330184,-1.6071485,1.4247644,186.68542,42.550793
71140000,-0.071301706,0.078392126,-1.6381906,-1.6086683,1.6398821,179.22125,42.426075
71644000,-0.028522536,0.07715969,-1.6431996,-1.6103204,1.8549995,171.74582,42.48998
72148000,0.02247017,0.07796307,-1.6281972,-1.6069608,1.2221174,164.25325,42.63464
72652000,0.045347556,0.07939132,-1.6232032,-1.6059843,1.0132353,156.73468,42.801945
73132000,0.06566664,0.080372214,-1.6081704,-1.602,0.3709998,149.54851,42.930134
73636000,0.063512355,0.08098549,-1.6032931,-1.6006606,0.16211772,141.97292,43.061874
74140000,0.06615587,0.081161365,-1.5886205,-1.5960194,-0.47076392,134.37616,43.15955
74644000,0.054069128,0.08099416,-1.584012,-1.5942287,-0.6702938,126.76219,43.20097
75148000,0.04348013,0.08019603,-1.5791757,-1.5921439,-0.87917614,119.13881,43.200294
75652000,0.023576392,0.07927728,-1.5843562,-1.5936425,-0.6547055,111.52269,43.153545
76132000,0.020190923,0.077247456,-1.5792618,-1.5911441,-0.872941,104.28803,43.07602
76636000,0.007957671,0.075466976,-1.5842245,-1.5927204,-0.6578231,96.70411,42.985916
77140000,0.0121836,0.073677085,-1.5793351,-1.5898082,-0.8667059,89.13143,42.923496
77644000,0.00653523,0.07205492,-1.5843251,-1.591551,-0.65158796,81.57354,42.860157
78148000,0.002526085,0.07103613,-1.5895467,-1.5937456,-0.42711735,74.03015,42.79117
78652000,0.011055156,0.06977398,-1.5846499,-1.5899495,-0.6359992,66.502144,42.748196
79132000,0.00686428,0.068608634,-1.5894608,-1.5922651,-0.43023443,59.3387,42.73581
79636000,0.014283407,0.06714646,-1.5845861,-1.5871798,-0.6391177,51.81319,42.774437
80140000,0.008697103,0.06721581,-1.5896245,-1.589951,-0.4239998,44.278267,42.81271
80644000,0.57266414,0.05660011,-0.8087173,-0.16095261,36.7891,268.00024,42.87787
81148000,0.7948657,0.090661556,-0.6547801,-0.13106322,28.662003,266.7296,48.553593
81652000,0.79691803,0.07162058,-0.44837785,-0.09993693,20.229216,264.34473,49.05652
82132000,0.6956232,-0.008551442,-0.30685937,-0.072491616,12.812443,260.52838,45.800106
82636000,0.5140347,-0.05445181,-0.20367858,-0.05231123,7.3980236,255.24,41.24363
83140000,0.33927456,-0.18151441,-0.119164675,-0.03789953,3.6307914,249.29517,37.943558
83644000,0.19147179,-0.18799399,-0.064779565,-0.02945943,1.4909573,243.16876,35.97963
84148000,0.05118648,-0.2534756,-0.04198453,-0.026127782,0.662937,236.95615,35.537304
84652000,-0.06985464,-0.20317374,-0.045576815,-0.02679987,0.80146116,230.69678,36.02686
85132000,-0.15856984,-0.24772072,-0.057524905,-0.029009111,1.2753596,224.59506,37.3027
