timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius
24728000,19.975481,20.39807,12.190796
24752000,19.943138,20.365135,12.1901245
24776000,19.964296,20.386847,12.189453
24800000,19.889988,20.311228,12.188782
24824000,20.000614,20.42421,12.18811
24848000,20.033497,20.45777,12.187408
24872000,19.993444,20.41731,12.186737
24896000,19.98369,20.407122,12.186035
24920000,20.03525,20.460125,12.185333
24944000,20.044115,20.46921,12.184662
24968000,20.041447,20.466465,12.18396
24992000,20.096708,20.523066,12.183258
25016000,20.009878,20.434559,12.182556
25040000,20.071081,20.497389,12.181885
25064000,19.95063,20.374285,12.181183
25088000,20.02275,20.447931,12.180481
25112000,20.069601,20.495913,12.179779
25136000,20.1309,20.558748,12.179077
25160000,20.065207,20.491722,12.178375
25184000,20.05634,20.482737,12.177704
25208000,20.056938,20.483316,12.177002
25232000,20.13347,20.561676,12.1763
25256000,20.090096,20.51761,12.175598
25280000,20.188766,20.618462,12.174927
25304000,20.186714,20.61629,12.174225
25328000,20.107084,20.534977,12.173553
25352000,20.133522,20.56235,12.172852
25376000,20.151974,20.581099,12.17218
25400000,20.113243,20.541998,12.171478
25424000,20.124245,20.55314,12.170807
25448000,20.186525,20.61694,12.1701355
25472000,20.182133,20.612452,12.169464
25496000,20.224285,20.655636,12.168793
25520000,20.212692,20.643757,12.168121
25544000,20.208723,20.639841,12.16745
25568000,20.19638,20.627617,12.166779
25592000,20.182596,20.613468,12.166138
25616000,20.180902,20.611834,12.165466
25640000,20.172573,20.60328,12.164825
25664000,20.212341,20.644028,12.164154
25692000,20.19937,20.631075,12.163513
25712000,20.300499,20.734512,12.162872
25736000,20.190483,20.622154,12.162231
25760000,20.227024,20.659481,12.161591
25784000,20.25189,20.68519,12.16095
25808000,20.226143,20.658794,12.160309
25832000,20.242197,20.675123,12.159668
25856000,20.22805,20.661087,12.159058
25880000,20.376059,20.812237,12.158417
25904000,20.214266,20.647316,12.157776
25928000,20.220121,20.653046,12.157166
25952000,20.332357,20.767866,12.156525
25976000,20.223663,20.656857,12.155914
26000000,20.262997,20.697113,12.155273
26024000,20.247091,20.681133,12.154663
26048000,20.20878,20.641888,12.154053
26072000,20.229525,20.66331,12.153412
26096000,20.219223,20.652956,12.1528015
26120000,20.271198,20.70605,12.152191
26144000,20.230843,20.665024,12.151581
26168000,20.22176,20.655638,12.15097
26192000,20.174274,20.607372,12.15033
26216000,20.219103,20.653324,12.149719
26240000,20.24754,20.68226,12.149109
26264000,20.157726,20.590466,12.148499
26292000,20.251154,20.686401,12.147888
26312000,20.299446,20.735844,12.147278
26336000,20.233362,20.668447,12.1466675
26360000,20.224512,20.65927,12.146027
26384000,20.22875,20.663677,12.145416
26412000,20.230503,20.665466,12.144806
26432000,20.174105,20.608217,12.144196
26456000,20.143057,20.576624,12.143585
26480000,20.237232,20.672981,12.142944
26504000,20.15581,20.589714,12.142334
26532000,20.262026,20.698362,12.141724
26552000,20.141582,20.57535,12.141083
26576000,20.13713,20.570992,12.140472
26600000,20.166508,20.600971,12.139832
26628000,20.17484,20.609642,12.139221
26648000,20.148792,20.583124,12.13858
26672000,20.184174,20.619333,12.137939
26696000,20.147396,20.582014,12.137329
26724000,20.128008,20.562136,12.136688
26744000,20.158764,20.593729,12.136047
26768000,20.13896,20.573679,12.1354065
26792000,20.126072,20.56059,12.134766
26816000,20.168509,20.603817,12.134125
26840000,20.118076,20.55268,12.133484
26864000,20.01056,20.442913,12.132843
26888000,20.112923,20.547302,12.132172
26912000,20.113161,20.547876,12.131531
26936000,20.030142,20.463127,12.13089
26964000,20.08506,20.519396,12.1302185
26984000,20.113632,20.548763,12.129578
27008000,20.071556,20.505754,12.128906
27032000,20.061085,20.495083,12.128265
27056000,20.088682,20.523302,12.127594
27084000,20.091158,20.526114,12.126953
27104000,20.046509,20.480448,12.126282
27128000,19.968908,20.401403,12.12561
27152000,20.079803,20.514776,12.124939
27176000,20.06305,20.497866,12.124268
27200000,20.029396,20.463348,12.123627
27228000,20.030447,20.464745,12.122955
27248000,19.987818,20.421127,12.122284
27272000,20.040577,20.475035,12.121613
27296000,20.036104,20.470758,12.120941
27320000,19.99277,20.42655,12.120239
27344000,19.956442,20.389498,12.119568
27368000,20.04817,20.483328,12.1188965
27392000,19.98749,20.42165,12.118225
27416000,19.913269,20.345987,12.117523
27440000,19.909744,20.342209,12.116852
27464000,19.930561,20.363693,12.11618
27488000,19.931093,20.364304,12.1154785
27516000,19.977926,20.41212,12.114807
27536000,19.892925,20.325556,12.114105
27560000,19.990177,20.424904,12.113434
27584000,19.823029,20.254286,12.112732
27612000,19.981386,20.416212,12.112061
27632000,19.991241,20.426332,12.111359
27656000,19.962553,20.397182,12.110687
27680000,19.945892,20.38015,12.109985
27704000,19.819872,20.251722,12.109314
27728000,19.932255,20.36633,12.108612
27752000,19.931023,20.365166,12.10791
27776000,19.80376,20.235456,12.107208
27800000,19.845047,20.27771,12.106537
27824000,19.91992,20.354216,12.105835
27848000,19.840076,20.272745,12.105133
27872000,19.90405,20.33812,12.104431
27896000,19.82752,20.260317,12.103729
27924000,19.804852,20.237259,12.103027
27944000,19.839588,20.272814,12.102356
27968000,19.80953,20.241953,12.101654
27992000,19.81702,20.2498,12.100952
28016000,19.865208,20.299149,12.10025
28040000,19.85589,20.289711,12.099548
28064000,19.85835,20.29239,12.098846
28088000,19.85184,20.285898,12.098145
28112000,19.83679,20.27065,12.097443
28140000,19.813412,20.246786,12.096741
28160000,19.85351,20.287958,12.096039
28184000,19.811987,20.245653,12.095337
28208000,19.830194,20.26426,12.0946045
28232000,19.82284,20.257011,12.093903
28260000,19.791271,20.224617,12.093201
28284000,19.82387,20.258194,12.092499
28304000,19.731756,20.164015,12.091797
28328000,19.856941,20.29215,12.091095
28352000,19.712423,20.14455,12.090393
28376000,19.792723,20.226677,12.089661
28404000,19.861868,20.2974,12.088959
28428000,19.718395,20.150932,12.088257
28448000,19.808092,20.242783,12.087555
28472000,19.813139,20.247974,12.0868225
28496000,19.790926,20.225601,12.086121
28520000,19.79608,20.230843,12.085419
28544000,19.760576,20.194822,12.084717
28568000,19.728384,20.161577,12.083984
28592000,19.805584,20.240993,12.083282
28615999,19.851194,20.287676,12.082581
28639999,19.714125,20.147526,12.081848
28664000,19.797634,20.23298,12.081146
28688000,19.825405,20.26159,12.080444
28712000,19.755388,20.190142,12.079712
28736000,19.74121,20.175934,12.07901
28760000,19.74074,20.175436,12.078278
28784000,19.823702,20.260267,12.077576
28807999,19.68276,20.116444,12.076874
28831999,19.662142,20.095287,12.076141
28856000,19.660103,20.093348,12.075439
28880000,19.52047,19.950983,12.074738
28904000,19.546026,19.97692,12.074036
28928000,19.519566,19.949879,12.073334
28952000,19.428583,19.857218,12.072632
28976000,19.399477,19.827475,12.07193
28999999,19.33908,19.76573,12.071228
29024000,19.216127,19.640463,12.070557
29048000,19.205936,19.630093,12.069855
29072000,19.147966,19.570766,12.069183
29096000,19.038254,19.458838,12.0685425
29120000,19.091248,19.513083,12.067871
29144000,18.929173,19.347559,12.06723
29167999,18.895409,19.313044,12.066589
29191999,18.892698,19.310513,12.0659485
29216000,18.823051,19.239218,12.065308
29240000,18.95062,19.369976,12.064697
29267999,18.688143,19.101595,12.064117
29288000,18.668282,19.081284,12.063507
29312000,18.57968,18.990973,12.062927
29336000,18.53027,18.940596,12.062347
29359999,18.43302,18.841187,12.061798
29383999,18.388327,18.795462,12.061249
29408000,18.368708,18.775564,12.06073
29432000,18.329458,18.735758,12.060211
29456000,18.285107,18.690285,12.059692
29480000,18.28264,18.687782,12.059204
29508000,18.208902,18.612698,12.058716
29532000,18.165077,18.567984,12.058258
29551999,18.134424,18.536562,12.0578
29575999,17.991154,18.390089,12.057373
29600000,18.031693,18.431852,12.056946
29624000,18.06383,18.464651,12.056519
29648000,17.83831,18.23408,12.056122
29672000,17.88666,18.283638,12.055725
29696000,17.842018,18.238047,12.055359
29720000,17.862078,18.258661,12.054993
29743999,17.776676,18.171406,12.054626
29767999,17.75845,18.152834,12.054291
29795999,17.748665,18.142797,12.053955
29819999,17.66896,18.06153,12.053619
29840000,17.59725,17.988083,12.053314
29864000,17.580944,17.971579,12.053009
29888000,17.500967,17.889687,12.052734
29916000,17.517912,17.907133,12.05246
29935999,17.505222,17.894062,12.052185
29960000,17.45575,17.84354,12.05191
29984000,17.37263,17.758696,12.051666
30008000,17.421303,17.808573,12.051453
30032000,17.419752,17.806965,12.0512085
30056000,17.344545,17.730051,12.051025
30080000,17.257061,17.640854,12.050812
30104000,17.22683,17.609694,12.050629
30132000,17.164375,17.545969,12.050446
30152000,17.269592,17.653524,12.050262
30176000,17.162964,17.544739,12.05011
30200000,17.181442,17.56336,12.049957
30224000,17.184332,17.56647,12.049805
30252000,17.177946,17.559998,12.049683
30272000,17.049782,17.428953,12.049561
30296000,17.111868,17.492342,12.049438
30320000,17.048534,17.427725,12.049347
30344000,17.031574,17.410404,12.049225
30368000,16.99148,17.36946,12.049164
30396000,16.981894,17.359735,12.049072
30416000,17.015377,17.393938,12.049011
30440000,16.994753,17.372717,12.04895
30464000,16.941154,17.318129,12.048889
30488000,16.917328,17.293793,12.048828
30512000,16.938562,17.315477,12.048798
30536000,16.995981,17.374056,12.048767
30560000,16.95214,17.32926,12.048767
30584000,16.876719,17.252274,12.048737
30608000,16.924574,17.300966,12.048737
30632000,16.78263,17.156229,12.048737
30656000,16.886364,17.26201,12.048737
30680000,16.89094,17.266628,12.048767
30704000,16.84719,17.22195,12.048767
30728000,16.867632,17.242733,12.048798
30752000,16.779667,17.152945,12.048859
30776000,16.86224,17.237383,12.048889
30800000,16.70406,17.075785,12.04892
30824000,16.859734,17.234724,12.048981
30848000,16.759438,17.132198,12.049042
30872000,16.823746,17.19795,12.049103
30896000,16.79193,17.165552,12.049194
30920000,16.764837,17.137737,12.049255
30944000,16.639778,17.00998,12.049347
30968000,16.74118,17.11365,12.049438
30992000,16.674887,17.045805,12.04953
31016000,16.825052,17.199186,12.049622
31040000,16.687363,17.058462,12.049713
31064000,16.731804,17.103928,12.049835
31092000,16.666687,17.037363,12.049957
31116000,16.589392,16.95829,12.050079
31140000,16.671518,17.042366,12.050201
31160000,16.617,16.986443,12.0503235
31184000,16.709347,17.080898,12.050446
31208000,16.706875,17.078411,12.050568
31232000,16.678778,17.049595,12.05072
31256000,16.696184,17.067446,12.050842
31280000,16.593952,16.962675,12.050995
31304000,16.663132,17.033628,12.051147
31328000,16.66689,17.037363,12.0513
31352000,16.568932,16.937136,12.051453
31376000,16.5957,16.964516,12.051605
31400000,16.510752,16.877857,12.051788
31424000,16.583723,16.952307,12.051941
31448000,16.61603,16.985195,12.052124
31472000,16.628736,16.998245,12.052277
31496000,16.6392,17.008953,12.05246
31520000,16.481747,16.848162,12.052643
31544000,16.455553,16.821045,12.052826
31572000,16.573454,16.941776,12.053009
31592000,16.496122,16.862585,12.053192
31616000,16.532923,16.900234,12.053375
31640000,16.487843,16.85395,12.053558
31664000,16.593657,16.96222,12.053741
31688000,16.590353,16.958792,12.053955
31712000,16.538916,16.90625,12.054138
31736000,16.622162,16.991312,12.054321
31760000,16.635593,17.005075,12.054535
31784000,16.487867,16.854002,12.054749
31812000,16.602236,16.970873,12.054932
31836000,16.574575,16.942606,12.055145
31856000,16.507204,16.873703,12.055359
31880000,16.569153,16.936928,12.055542
31904000,16.498335,16.86467,12.055756
31928000,16.551924,16.919176,12.055969
31952000,16.536295,16.903307,12.056183
31976000,16.503605,16.869892,12.0563965
32000000,16.576206,16.944073,12.05661
32024000,16.50354,16.869934,12.056824
32048000,16.539812,16.90671,12.057037
32072000,16.519804,16.886368,12.057251
32096000,16.541351,16.9083,12.057465
32120000,16.503407,16.86963,12.057678
32144000,16.481564,16.84712,12.057892
32168000,16.565071,16.932417,12.058105
32192000,16.536795,16.903551,12.058319
32216000,16.475212,16.840525,12.058533
32240000,16.509514,16.875433,12.058746
32264000,16.506615,16.872694,12.0589905
32288000,16.578232,16.945776,12.059204
32312000,16.498564,16.864315,12.059418
32336000,16.470926,16.836002,12.059631
32360000,16.425207,16.789352,12.059845
32384000,16.475834,16.840923,12.060059
32408000,16.448145,16.812546,12.060303
32436000,16.544323,16.911015,12.060516
32456000,16.465843,16.830738,12.06073
32480000,16.468306,16.833185,12.060944
32504000,16.545607,16.912333,12.061157
32528000,16.510954,16.876804,12.061401
32552000,16.521614,16.887634,12.061615
32576000,16.364763,16.727165,12.061829
32600000,16.422781,16.786634,12.062042
32624000,16.561218,16.927864,12.062256
32648000,16.551678,16.918121,12.0624695
32672000,16.429373,16.79326,12.062683
32696000,16.491158,16.856422,12.062897
32720000,16.489935,16.854929,12.06311
32744000,16.507961,16.873436,12.063324
32768000,16.416758,16.780155,12.063538
32792000,16.435879,16.799742,12.063782
32816000,16.566923,16.933578,12.063965
32840000,16.446377,16.810392,12.064178
32864000,16.439203,16.803051,12.064392
32888000,16.449121,16.812923,12.064606
32912000,16.509123,16.874435,12.064819
32936000,16.549582,16.915789,12.065033
32960000,16.446451,16.810184,12.065247
32984000,16.480375,16.844866,12.06546
33008000,16.457825,16.821812,12.065643
33032000,16.484192,16.848799,12.065857
33056000,16.503996,16.869102,12.066071
33080000,16.425968,16.789303,12.066284
33104000,16.51716,16.882418,12.066467
33132000,16.511765,16.87702,12.066681
33152000,16.438936,16.802397,12.066895
33176000,16.436607,16.8001,12.067078
33200000,16.429848,16.79306,12.067291
33224000,16.501696,16.866491,12.067474
33248000,16.387047,16.749298,12.067688
33272000,16.438828,16.802258,12.067871
33296000,16.512302,16.877346,12.068085
33320000,16.490246,16.854666,12.068268
33344000,16.472666,16.836697,12.068451
33368000,16.439981,16.803291,12.068665
33392000,16.431322,16.794443,12.068848
33416000,16.570934,16.937002,12.069031
33440000,16.480227,16.84432,12.069214
33464000,16.436157,16.799229,12.069397
33488000,16.460941,16.824627,12.06958
33512000,16.44922,16.812654,12.069763
33536000,16.415472,16.777994,12.069946
33560000,16.466187,16.829905,12.070129
33584000,16.416256,16.778944,12.0703125
33608000,16.55795,16.923628,12.070496
33632000,16.5155,16.880146,12.070679
33656000,16.387045,16.748877,12.070862
33680000,16.497168,16.861431,12.071014
33704000,16.349648,16.710655,12.0711975
33728000,16.454594,16.817886,12.071381
33752000,16.457987,16.821198,12.071533
33776000,16.449486,16.812431,12.071716
33800000,16.388313,16.750124,12.071869
33828000,16.431658,16.794188,12.072052
33848000,16.502073,16.866232,12.072205
33872000,16.50274,16.866905,12.072388
33896000,16.434605,16.797394,12.07254
33920000,16.417889,16.78021,12.072693
33944000,16.496223,16.860218,12.072845
33968000,16.479895,16.843529,12.073029
33992000,16.495066,16.85893,12.073181
34016000,16.387785,16.749277,12.073334
34044000,16.43173,16.794416,12.073486
34064000,16.518526,16.882914,12.073639
34088000,16.571066,16.93651,12.0737915
34112000,16.511028,16.875233,12.073944
34136000,16.402262,16.764084,12.074097
34160000,16.42429,16.786503,12.074249
34184000,16.415817,16.777876,12.074402
34208000,16.467747,16.83081,12.074554
34232000,16.465017,16.827824,12.0746765
34256000,16.489885,16.85364,12.074829
34280000,16.425426,16.787693,12.074982
34304000,16.41473,16.776573,12.075104
34328000,16.441854,16.80428,12.075256
34352000,16.43173,16.793985,12.075409
34376000,16.515623,16.879839,12.075531
34404000,16.395878,16.75733,12.075684
