timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,vx,vy,vz,ax,ay,az,dist_bottom
24360000,764000,39.8714138,32.7364368,-63.805973,85.05897,-31.201368,-13.229691,-15.099706,-3.605217,10.716252,-9.128709,-0.020480713,31.371525
24464000,764000,39.8714138,32.7364368,-65.13568,83.45226,-31.598461,-12.062573,-16.02313,-3.6299138,11.914563,-8.838014,-0.32077727,31.768618
24560000,764000,39.8714138,32.7364368,-66.25626,81.886314,-31.975937,-10.872735,-16.833961,-3.6840522,13.09216,-8.271268,-0.47042033,32.14609
24664000,764000,39.8714138,32.7364368,-67.32978,80.102165,-32.39172,-9.464569,-17.648024,-3.762057,14.113339,-7.5222883,-0.62959635,32.561874
24760000,764000,39.8714138,32.7364368,-68.19298,78.38743,-32.788406,-8.103858,-18.312712,-3.8398023,14.520404,-6.5801754,-0.50071716,32.95856
24864000,764000,39.8714138,32.7364368,-68.97519,76.460846,-33.223396,-6.612098,-18.922035,-3.8997593,14.335979,-5.355076,-0.16374326,33.39355
24960000,764000,39.8714138,32.7364368,-69.56716,74.63593,-33.635895,-5.2652073,-19.370007,-3.939752,13.949543,-4.2949295,0.02458412,33.80605
25064000,764000,39.8714138,32.7364368,-70.06071,72.61414,-34.084423,-3.8633895,-19.740973,-3.9537885,13.259164,-3.1482801,0.23697501,34.254578
25160000,764000,39.8714138,32.7364368,-70.39806,70.72411,-34.50742,-2.6561885,-19.982147,-3.9519708,12.270169,-2.258891,0.49889922,34.677574
25264000,764000,39.8714138,32.7364368,-70.63495,68.65313,-34.964306,-1.4556752,-20.161005,-3.9244258,11.214738,-1.5053302,0.6407303,35.13446
25360000,764000,39.8714138,32.7364368,-70.75008,66.727776,-35.388428,-0.4548886,-20.252527,-3.88769,10.166478,-0.8461839,0.8183503,35.558582
25464000,764000,39.8714138,32.7364368,-70.767845,64.63241,-35.840015,0.51629066,-20.29795,-3.8308399,9.001332,-0.33545142,1.0309684,36.01017
25560000,764000,39.8714138,32.7364368,-70.70375,62.69704,-36.25515,1.3035438,-20.30118,-3.779646,7.997106,0.007008435,1.014186,36.425304
