timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s
159984000,14.488138,14.585197,14.911529,14.887676,15.220777
160984000,14.675703,14.782255,15.112726,15.417225,15.76189
161984000,14.922652,15.064568,15.400985,16.181253,16.542608
162984000,15.323884,15.4929495,15.839141,16.687048,17.059921
163984000,15.503482,15.6767025,16.026686,16.611465,16.982317
164984000,15.710035,15.879732,16.233791,16.345728,16.710178
165984000,15.482844,15.64993,15.998523,15.832332,16.184986
166984000,15.060567,15.229,15.568042,15.199673,15.538062
167984000,14.682378,14.854701,15.185138,14.765928,15.094389
168984000,14.598736,14.78041,15.109065,14.640908,14.966461
169984000,14.931659,15.137737,15.473732,14.688959,15.014993
170984000,15.027726,15.232073,15.569494,14.652494,14.977077
171984000,15.102144,15.2423725,15.579654,14.362696,14.6805105
172984000,14.963394,15.016014,15.347801,14.030279,14.340286
173984000,15.04665,15.061043,15.393974,13.856522,14.162827
174984000,14.980336,14.9828825,15.313957,13.7371,14.040647
175984000,15.025615,15.02753,15.359498,13.635223,13.936435
176984000,14.81124,14.813032,15.140332,13.62209,13.923077
177984000,14.954159,14.955772,15.286156,13.666869,13.96878
178984000,14.9709015,14.975866,15.30649,13.75649,14.060192
179984000,14.867807,14.875626,15.203642,14.023106,14.332324
180984000,15.232999,15.244924,15.580754,14.589813,14.911213
181984000,15.622207,15.628868,15.972881,15.251368,15.587071
182984000,15.826328,15.82591,16.173811,15.752559,16.098848
183984000,15.905429,15.896282,16.246025,16.038034,16.390898
184984000,15.692894,15.681002,16.026117,16.142132,16.497396
185984000,15.515556,15.515096,15.856986,16.177094,16.533571
186984000,15.413233,15.461834,15.802669,16.279844,16.63871
187984000,15.457133,15.543402,15.886215,16.490301,16.853998
188984000,15.56652,15.68292,16.028751,16.749556,17.118908
189984000,15.103795,15.221821,15.557308,16.340979,16.701132
190984000,14.293942,14.40695,14.7247095,15.479669,15.821088
191984000,13.752011,13.862239,14.167796,15.056724,15.388609
192984000,13.643142,13.753461,14.056161,14.889836,15.217547
193984000,13.683912,13.797782,14.101045,14.829685,15.155628
194984000,13.594006,13.704412,14.005155,14.790645,15.115224
195984000,13.528728,13.641267,13.940618,14.748223,15.071867
196984000,13.331952,13.4423685,13.7371,14.671111,14.992783
197984000,13.341413,13.45585,13.750604,14.584756,14.90424
198984000,13.265609,13.380219,13.673369,14.483288,14.800606
199984000,13.114777,13.231718,13.521748,14.373018,14.688065
200984000,12.9704,13.093873,13.380703,14.261662,14.574074
201984000,12.9175005,13.042793,13.328656,14.153602,14.463811
202984000,12.712541,12.838017,13.119385,14.029208,14.336682
203984000,12.672253,12.798507,13.078972,13.899696,14.204291
204984000,12.577869,12.704438,12.9828,13.781968,14.08394
205984000,12.421812,12.549639,12.824597,13.67578,13.975413
206984000,12.282903,12.407169,12.67906,13.560438,13.857602
207984000,12.321759,12.4471,12.720094,13.447543,13.74248
208984000,12.161262,12.28347,12.552843,13.348922,13.641661
209984000,11.905302,12.025669,12.289263,13.135037,13.422948
210984000,11.798332,11.916669,12.177453,12.982566,13.266676
211984000,11.928067,12.048895,12.311707,13.085173,13.370588
212984000,11.769091,11.895055,12.153847,13.092535,13.377379
213984000,11.918776,12.04694,12.308272,13.074637,13.358264
214984000,11.770696,11.896615,12.15389,13.071112,13.353786
215984000,11.900232,12.036824,12.296358,13.093715,13.376036
216984000,11.775724,11.917169,12.173326,13.120424,13.402445
217984000,11.81778,11.963292,12.219769,13.13883,13.420508
218984000,11.968509,12.120166,12.379149,13.165295,13.446612
219984000,11.992866,12.149931,12.408829,13.195717,13.476899
220984000,12.017925,12.17264,12.431173,13.218558,13.499306
221984000,11.900663,12.054135,12.309237,13.249813,13.530219
222984000,11.871664,12.031339,12.285314,13.292296,13.57289
223984000,12.161698,12.327076,12.586315,13.338028,13.618527
224984000,12.135823,12.299665,12.55756,13.391711,13.6725025
225984000,12.179769,12.344895,12.602851,13.454641,13.735786
226984000,12.225314,12.389987,12.648078,13.504112,13.785411
227984000,12.37652,12.536969,12.797221,13.55874,13.840202
228984000,12.565643,12.720581,12.983792,13.62,13.901821
229984000,12.624168,12.778602,13.041895,13.698427,13.980674
230984000,12.7025,12.856421,13.120402,13.797214,14.080511
231984000,12.793007,12.949129,13.214164,13.903875,14.188453
232984000,12.912561,13.071449,13.338064,14.014891,14.300749
233984000,12.842055,13.001752,13.265851,14.124954,14.411867
234984000,12.957517,13.122599,13.388181,14.244444,14.532729
235984000,13.245224,13.411239,13.681586,14.364982,14.654554
236984000,13.211017,13.377107,13.645785,14.482729,14.773615
237984000,13.343364,13.508054,13.778284,14.519564,14.81003
238984000,13.055872,13.218998,13.482778,14.260849,14.545419
239984000,12.835982,12.996237,13.255027,14.105256,14.38613
240984000,12.873502,13.033942,13.29285,14.071638,14.351158
241984000,12.943458,13.105378,13.365264,14.087761,14.367128
242984000,12.877608,13.032443,13.290316,14.118382,14.397742
243984000,12.885831,13.0418,13.299362,14.134178,14.413316
244984000,12.9350395,13.090202,13.348406,14.135138,14.413953
245984000,12.8748665,13.03177,13.288526,14.124594,14.402882
246984000,12.769747,12.923455,13.177723,13.902713,14.176249
247984000,12.48147,12.627205,12.874964,13.622874,13.890168
248984000,12.403134,12.54583,12.791282,13.516757,13.781203
249984000,7.2853546,7.372536,7.5165997,8.327008,8.489722
250984000,-0.48018518,-0.48227,-0.49169266,1.1977689,1.2211711
251984000,0.8953188,0.9021029,0.919728,1.3161237,1.3418379
252984000,-0.85012,-0.8667188,-0.8836554,1.4351362,1.4631803
253984000,1.2832378,1.3082935,1.3338565,1.5697819,1.6004543
