timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s
137992000,14.456456,14.472821,14.791242,13.479277,13.775838
138992000,13.962593,13.960446,14.268066,12.809396,13.091652
139992000,13.562752,13.547087,13.84618,12.409323,12.683296
140992000,13.391977,13.360876,13.656153,12.338981,12.611674
141992000,13.559651,13.524868,13.8236265,12.452979,12.728061
142992000,12.36745,12.335843,12.608054,11.193115,11.44011
143992000,12.029553,11.998083,12.262501,10.871847,11.111444
144992000,12.237141,12.210735,12.479335,11.046598,11.28959
145992000,12.433785,12.409768,12.682049,11.246419,11.493175
146992000,12.274704,12.2511015,12.5196905,11.153096,11.397613
147992000,11.912275,11.8951845,12.155881,10.898105,11.13695
148992000,11.601654,11.583564,11.837619,10.630433,10.8635845
149992000,11.457481,11.4443445,11.695437,10.487536,10.717636
150992000,11.534647,11.526177,11.778979,10.440595,10.669587
151992000,11.436016,11.429341,11.679969,10.4003315,10.628394
152992000,11.469459,11.465111,11.71666,10.341376,10.56827
153992000,11.367621,11.363222,11.612513,10.25858,10.483637
154992000,11.218751,11.218094,11.464386,10.177104,10.400541
155992000,11.173826,11.175898,11.421276,10.090537,10.312085
156992000,11.078046,11.080651,11.324044,10.015251,10.235242
157992000,10.885746,10.889965,11.129122,9.94001,10.158305
158992000,10.859384,10.867079,11.105869,9.869828,10.086705
159992000,10.769149,10.783146,11.020069,9.805276,10.020713
160992000,10.720498,10.738338,10.974415,9.727448,9.9413
161992000,10.534444,10.553736,10.785654,9.655426,9.867604
162992000,10.301569,10.321967,10.548941,9.318369,9.523273
163992000,9.712268,9.729389,9.942811,8.761901,8.954097
164992000,10.825672,10.844844,11.081376,9.7917185,10.0052805
165992000,11.7697,11.7929735,12.04825,10.70893,10.940741
166992000,11.485438,11.505696,11.753618,10.335742,10.5584545
167992000,10.465197,10.481398,10.706782,9.315355,9.515667
168992000,10.0165205,10.030256,10.245586,8.96153,9.153916
169992000,10.349535,10.360855,10.582583,9.142066,9.337711
170992000,10.645725,10.652839,10.879723,9.597054,9.801451
171992000,10.826462,10.82902,11.058694,9.778788,9.986187
172992000,10.50988,10.511316,10.733422,9.509178,9.71011
173992000,10.235117,10.236193,10.452169,9.163012,9.356345
174992000,10.2178335,10.219449,10.434294,9.123888,9.315701
175992000,10.447221,10.451781,10.670707,9.432909,9.630488
176992000,10.647901,10.655305,10.877573,9.759969,9.963561
