timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
22644000,-0.16000338,0.083119355,-0.26094422,-0.38189512,0.34699047,-10.082494
22652000,-0.15921909,0.08079079,-0.26438546,-0.33706447,0.19659275,-10.005664
22656000,-0.15928896,0.08433876,-0.2670548,-0.35551593,0.2794305,-10.056067
22664000,-0.16404772,0.08406961,-0.2598647,-0.3624061,0.29705173,-10.106588
22672000,-0.15689038,0.08845294,-0.25877863,-0.41200277,0.22642323,-10.186439
22680000,-0.15706612,0.08004419,-0.25977358,-0.41855222,0.21838704,-10.162361
22684000,-0.15408014,0.08105607,-0.26824358,-0.41680953,0.21133278,-10.232897
22688000,-0.15246579,0.08649404,-0.26050743,-0.3632006,0.1943333,-10.318713
22692000,-0.15607734,0.09280975,-0.26040426,-0.37637448,0.20274267,-10.316324
22696000,-0.15537938,0.08891367,-0.26297334,-0.42419714,0.2174314,-10.192699
22704000,-0.15899721,0.09253935,-0.26627696,-0.43745965,0.23953502,-10.219268
22708000,-0.15371569,0.09339534,-0.27239698,-0.38885373,0.33979294,-10.205029
22712000,-0.14599892,0.09595599,-0.26519534,-0.41047704,0.30546838,-10.246462
22716000,-0.14347619,0.104310334,-0.26425233,-0.39776704,0.3044042,-10.30486
22720000,-0.14785221,0.099162035,-0.2659641,-0.33929884,0.2787695,-10.305515
22724000,-0.14878048,0.09220833,-0.26183444,-0.34585834,0.19399591,-10.336686
22728000,-0.14521569,0.096165225,-0.25726548,-0.29295737,0.20086057,-10.312698
22732000,-0.15205848,0.099883705,-0.25762334,-0.27412176,0.18602103,-10.260523
22736000,-0.14994049,0.10121666,-0.26371533,-0.22790785,0.19342719,-10.294199
22744000,-0.14244504,0.105043136,-0.27056393,-0.39590606,0.2006507,-10.39478
22748000,-0.1429779,0.107493415,-0.2666357,-0.32861748,0.18571252,-10.324238
22752000,-0.13992843,0.1013902,-0.26495492,-0.32108986,0.22375941,-10.305697
22756000,-0.1365903,0.10389204,-0.2680621,-0.36728567,0.17052287,-10.432633
22760000,-0.14075987,0.10957494,-0.26397684,-0.26496446,0.18166412,-10.4676485
22768000,-0.14269228,0.11132838,-0.2627924,-0.33238357,0.20454884,-10.441967
22772000,-0.14356251,0.106373966,-0.26273212,-0.36446908,0.25941792,-10.47987
22780000,-0.14060219,0.110592335,-0.26715192,-0.28372136,0.26369935,-10.45275
22784000,-0.13553813,0.11325684,-0.26764557,-0.29018494,0.30510852,-10.476339
22788000,-0.13941582,0.11271728,-0.2667455,-0.3387646,0.2147374,-10.43496
22796000,-0.13204816,0.11254526,-0.26829848,-0.23763523,0.2689649,-10.492766
22800000,-0.13247676,0.11299378,-0.2728661,-0.27729258,0.24159619,-10.609256
22804000,-0.13219304,0.11159851,-0.27167138,-0.38785246,0.26986673,-10.553047
22808000,-0.1377299,0.114599675,-0.26748523,-0.36164513,0.2550006,-10.518798
22812000,-0.13930741,0.11513493,-0.26671538,-0.3209342,0.21547781,-10.620839
22816000,-0.13959692,0.114027254,-0.26465052,-0.36125427,0.21749915,-10.65562
22820000,-0.13931134,0.11309667,-0.2669999,-0.4086514,0.22803876,-10.595125
22824000,-0.13694686,0.11331993,-0.26950324,-0.41340908,0.259983,-10.5594635
22828000,-0.13770734,0.11433894,-0.26279786,-0.33364755,0.23679185,-10.630975
22832000,-0.138832,0.11357418,-0.2682735,-0.33385777,0.1887335,-10.709065
22840000,-0.13025154,0.12553774,-0.2686149,-0.2766936,0.21395858,-10.6625
22844000,-0.12411308,0.12571977,-0.2726625,-0.32229558,0.1887689,-10.684515
22848000,-0.12581012,0.118389405,-0.26851803,-0.3551633,0.19707866,-10.702917
22856000,-0.1308595,0.11539951,-0.26652217,-0.36832944,0.25011343,-10.661884
22860000,-0.13110894,0.11710575,-0.2697156,-0.38979793,0.26736355,-10.719144
22864000,-0.13369983,0.12279812,-0.27284408,-0.38605642,0.15909447,-10.745938
22868000,-0.13319477,0.1298296,-0.26634064,-0.33732736,0.19159952,-10.70766
22872000,-0.13778754,0.12394903,-0.2678914,-0.3054752,0.2768629,-10.674521
22876000,-0.13331303,0.1211353,-0.27180734,-0.29138538,0.22334732,-10.723938
22884000,-0.12623848,0.13292517,-0.27764264,-0.3296728,0.15026383,-10.695851
22888000,-0.1223617,0.13093571,-0.2779421,-0.3222071,0.14011167,-10.771185
22892000,-0.12393172,0.12967922,-0.2709084,-0.32876313,0.20620541,-10.809707
