timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
84848000,0.036621265,-0.022867031,-0.13675992,2.4477384,-0.2937986,-8.518837
84852000,0.03397656,-0.021736037,-0.13263243,2.508414,-0.29414877,-8.474255
84856000,0.032723177,-0.029180596,-0.13473544,2.5335798,-0.27630934,-8.484672
84860000,0.035564568,-0.026474742,-0.14262228,2.4788747,-0.29055,-8.572116
84864000,0.035594676,-0.021837514,-0.13740264,2.3778026,-0.29245138,-8.5862665
84868000,0.034078922,-0.021448523,-0.13151716,2.380852,-0.3490729,-8.595745
84872000,0.036957778,-0.023598114,-0.1317747,2.456341,-0.44210613,-8.568257
84876000,0.038826287,-0.027273335,-0.12998587,2.4185934,-0.41560215,-8.458149
84880000,0.034580365,-0.025131622,-0.1317033,2.3915625,-0.33170196,-8.465493
84884000,0.036741067,-0.02179553,-0.13070707,2.4169831,-0.39196137,-8.530804
84892000,0.045732576,-0.017323501,-0.13986968,2.3537319,-0.37705383,-8.509626
84896000,0.038003094,-0.01627485,-0.13662511,2.3527012,-0.36665785,-8.515152
84900000,0.040217094,-0.022505382,-0.13844204,2.3808825,-0.32523975,-8.54178
84908000,0.04553085,-0.02346445,-0.13667,2.394403,-0.3323788,-8.531631
84916000,0.04379146,-0.017483436,-0.1328254,2.300716,-0.30624077,-8.544187
84920000,0.037337575,-0.022297405,-0.13683552,2.2881367,-0.33215377,-8.618478
84924000,0.03517649,-0.02443706,-0.13620405,2.3999188,-0.31267455,-8.685641
84928000,0.044530313,-0.022591906,-0.13647248,2.3666992,-0.3072887,-8.596245
84932000,0.048563603,-0.020807667,-0.1408107,2.345147,-0.35509968,-8.553943
84936000,0.048536852,-0.017592954,-0.14187779,2.351247,-0.38237172,-8.585253
84940000,0.049572963,-0.016734464,-0.1389516,2.3569798,-0.3209204,-8.610339
84944000,0.046978667,-0.020979542,-0.13766219,2.35662,-0.29124308,-8.634513
84952000,0.047526013,-0.016837647,-0.13898598,2.319283,-0.2961247,-8.587198
84956000,0.051100012,-0.016102303,-0.1254639,2.2937717,-0.29355437,-8.604596
84964000,0.047835328,-0.01706516,-0.13672325,2.384952,-0.32390842,-8.611313
84968000,0.048406992,-0.023747757,-0.13844086,2.369007,-0.3991989,-8.612015
84976000,0.053476833,-0.01716554,-0.14088808,2.344864,-0.24039075,-8.626105
84980000,0.05359274,-0.015422097,-0.13794531,2.345374,-0.2272727,-8.636219
84984000,0.057538714,-0.011871417,-0.14052804,2.3174515,-0.25176704,-8.678078
84992000,0.060432103,-0.01858887,-0.13635597,2.381569,-0.37139347,-8.642421
84996000,0.056789137,-0.013241393,-0.13665968,2.3420203,-0.31924298,-8.727172
85000000,0.05364953,-0.013130574,-0.13990048,2.3132708,-0.3022311,-8.68468
85004000,0.061577752,-0.017485466,-0.1366162,2.2915213,-0.3482849,-8.674246
85008000,0.06517136,-0.016218767,-0.13155665,2.26408,-0.38889244,-8.731265
