timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
191100000,191100000,-0.01446379,0.016037617,-0.07709019,0,0,0,0,0
191104000,191104000,-0.014104231,0.0159965,-0.07712393,0,0,0,0,0
191108000,191108000,-0.013979868,0.015916584,-0.07718514,0,0,0,0,0
191112000,191112000,-0.014078156,0.01586097,-0.077258505,0,0,0,0,0
191116000,191116000,-0.014450658,0.011233735,-0.07747426,0,0,0,0,0
191124000,191124000,-0.014518255,0.011173413,-0.0776846,0,0,0,0,0
191128000,191128000,-0.014653003,0.011162737,-0.0777621,0,0,0,0,0
191132000,191132000,-0.014299201,0.011186122,-0.07779122,0,0,0,0,0
191136000,191136000,-0.014006106,0.0111741,-0.07782696,0,0,0,0,0
191140000,191140000,-0.013701329,0.006850772,-0.077951886,0,0,0,0,0
191148000,191148000,-0.012888745,0.006718984,-0.07800988,0,0,0,0,0
191152000,191152000,-0.012967385,0.006835843,-0.078083254,0,0,0,0,0
191156000,191156000,-0.012859572,0.006928298,-0.0781796,0,0,0,0,0
191160000,191160000,-0.012679802,0.006943656,-0.0782585,0,0,0,0,0
191164000,191164000,-0.012557568,0.013111495,-0.07811079,0,0,0,0,0
191168000,191168000,-0.012469519,0.012944309,-0.07814178,0,0,0,0,0
191172000,191172000,-0.012521695,0.012772735,-0.07818689,0,0,0,0,0
191180000,191180000,-0.012383766,0.01275691,-0.07833266,0,0,0,0,0
191184000,191184000,-0.012325083,0.012899918,-0.078395635,0,0,0,0,0
191188000,191188000,-0.012313987,0.011268802,-0.07849308,0,0,0,0,0
191192000,191192000,-0.012033947,0.01125017,-0.07780402,0,0,0,0,0
191196000,191196000,-0.011568449,0.011126544,-0.07789198,0,0,0,0,0
191200000,191200000,-0.011557763,0.011005855,-0.077945806,0,0,0,0,0
191204000,191204000,-0.01190701,0.010985702,-0.07797181,0,0,0,0,0
191208000,191208000,-0.011913438,0.011066043,-0.077981725,0,0,0,0,0
191212000,191212000,-0.012142742,0.017964026,-0.077821255,0,0,0,0,0
191220000,191220000,-0.0115482,0.018162364,-0.077599466,0,0,0,0,0
191224000,191224000,-0.011613892,0.018132376,-0.077636026,0,0,0,0,0
191228000,191228000,-0.011612312,0.01808809,-0.07770745,0,0,0,0,0
