timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0]
194568000,0.021443155,-0.20039265,-1.6458559,0,0.67741406,-0.0660761,-0.07584425,-0.728692,0
194592000,0.020272978,-0.20541343,-1.6469183,0,0.6768338,-0.06834605,-0.07707809,-0.7288922,0
194616000,0.031644024,-0.20682923,-1.6388793,0,0.68009233,-0.064685114,-0.081959315,-0.7256534,0
194640000,0.031126933,-0.2112934,-1.6394135,0,0.67974806,-0.06650768,-0.083266474,-0.72566235,0
194664000,0.030650044,-0.2129777,-1.6399475,0,0.67948693,-0.06730507,-0.083645895,-0.7257898,0
194688000,0.029425154,-0.20337014,-1.6410106,0,0.6793486,-0.06426589,-0.079913355,-0.72661495,0
194712000,0.028941786,-0.20607673,-1.6415428,0,0.6790596,-0.06543753,-0.08063668,-0.7267005,0
194736000,0.028547741,-0.20302904,-1.6420754,0,0.67894334,-0.06448196,-0.07944476,-0.72702575,0
194760000,0.02802062,-0.2077734,-1.6426073,0,0.6785915,-0.066411495,-0.08084086,-0.72702676,0
194784000,0.026771255,-0.20901802,-1.6436682,0,0.67812616,-0.067331865,-0.080771975,-0.7273838,0
194808000,0.02631551,-0.21323374,-1.6441996,0,0.6777865,-0.06904524,-0.08201282,-0.7274009,0
194832000,0.025744664,-0.2148436,-1.6447304,0,0.67752266,-0.069847554,-0.08233057,-0.7275342,0
194856000,0.024462223,-0.20526107,-1.6457901,0,0.67739105,-0.06682821,-0.07859095,-0.72835344,0
194880000,0.035655517,-0.20779485,-1.6377786,0,0.680592,-0.06362626,-0.083776765,-0.7250708,0
194904000,0.03506199,-0.20458786,-1.6383119,0,0.68047196,-0.06268348,-0.08245773,-0.72541666,0
194928000,0.034538772,-0.20913073,-1.638844,0,0.68013096,-0.064536884,-0.08379034,-0.72542125,0
194952000,0.033167545,-0.21053529,-1.6399035,0,0.67966044,-0.065558665,-0.08373404,-0.72577703,0
194976000,0.03257521,-0.21451926,-1.6404346,0,0.6793278,-0.0672328,-0.08484993,-0.7258059,0
195000000,0.031924702,-0.21624342,-1.6409651,0,0.6790601,-0.06810406,-0.08517922,-0.7259364,0
195024000,0.031313326,-0.20669438,-1.6414962,0,0.67913556,-0.06485545,-0.08170884,-0.726562,0
195048000,0.0299075,-0.209045,-1.6425542,0,0.67863506,-0.06623259,-0.08195852,-0.7268772,0
195072000,0.02921223,-0.20603608,-1.6430844,0,0.67850935,-0.0653931,-0.080670804,-0.7272145,0
195096000,0.028637523,-0.21057735,-1.6436137,0,0.678161,-0.06726545,-0.08197955,-0.7272223,0
195120000,0.027186127,-0.21207984,-1.6446698,0,0.67768145,-0.068348646,-0.08192353,-0.7275747,0
195144000,0.03828656,-0.21609686,-1.6366844,0,0.6808293,-0.065703,-0.087579206,-0.724213,0
195168000,0.037645083,-0.21976742,-1.6372154,0,0.6805046,-0.06727904,-0.08857295,-0.7242526,0
195192000,0.036987297,-0.2151997,-1.637746,0,0.6804289,-0.065865204,-0.08676968,-0.7246719,0
195216000,0.035531893,-0.21704489,-1.6388026,0,0.6799418,-0.06707724,-0.086831994,-0.72501034,0
195240000,0.034781255,-0.20832287,-1.6393323,0,0.6799853,-0.064180814,-0.08358895,-0.7256127,0
195264000,0.034098502,-0.21280432,-1.6398618,0,0.6796384,-0.06606662,-0.08484135,-0.72562313,0
195288000,0.033361252,-0.21241972,-1.6403913,0,0.67943335,-0.0661995,-0.084426135,-0.7258513,0
195312000,0.031870402,-0.21654448,-1.6414468,0,0.6788741,-0.06825266,-0.08524492,-0.7260887,0
195336000,0.031207819,-0.2181002,-1.6419753,0,0.6786109,-0.06906674,-0.08551223,-0.7262264,0
195360000,0.030439764,-0.20859523,-1.6425035,0,0.6786846,-0.06588597,-0.08200154,-0.72685766,0
195384000,0.04076266,-0.21099769,-1.6350676,0,0.6816434,-0.06293587,-0.08679852,-0.72378683,0
195408000,0.03992041,-0.20829768,-1.6355966,0,0.6815024,-0.06226445,-0.08556112,-0.72412497,0
195432000,0.03919493,-0.21283865,-1.6361265,0,0.681157,-0.064185,-0.08682175,-0.72413206,0
195456000,0.038441684,-0.21443354,-1.6366562,0,0.68089414,-0.065044284,-0.08707256,-0.72427267,0
195480000,0.03689383,-0.21842772,-1.6377108,0,0.68034095,-0.06706938,-0.08783042,-0.7245163,0
195504000,0.03608686,-0.2203399,-1.6382394,0,0.68006337,-0.06806246,-0.08816775,-0.7246432,0
195528000,0.035289917,-0.21086146,-1.6387681,0,0.6801319,-0.0649081,-0.084651455,-0.7252873,0
195552000,0.033736944,-0.21288778,-1.6398202,0,0.679639,-0.0662181,-0.08473979,-0.72562057,0
195576000,0.032888364,-0.21024513,-1.6403481,0,0.6794987,-0.06556647,-0.083519936,-0.72595257,0
195600000,0.0320613,-0.21460253,-1.6408753,0,0.6791479,-0.067456335,-0.08467674,-0.72597355,0
195624000,0.031244308,-0.21636179,-1.6414027,0,0.6788744,-0.068396755,-0.08495733,-0.7261086,0
195648000,0.04142758,-0.22015552,-1.6339941,0,0.6817844,-0.06598787,-0.09018037,-0.72296834,0
195672000,0.040566698,-0.22222547,-1.6345235,0,0.68150157,-0.067056715,-0.090553604,-0.72308993,0
195696000,0.03974093,-0.21277703,-1.6350528,0,0.68156505,-0.06392993,-0.08703288,-0.7237454,0
195720000,0.038797557,-0.21463342,-1.6355809,0,0.681289,-0.064948864,-0.08730411,-0.72388184,0
195744000,0.037213605,-0.21216488,-1.6366311,0,0.6809303,-0.064636536,-0.08585955,-0.7244199,0
195768000,0.03630194,-0.21645975,-1.6371588,0,0.680581,-0.066531084,-0.08696774,-0.7244444,0
195792000,0.035377882,-0.21842988,-1.6376848,0,0.6802993,-0.067584686,-0.087282844,-0.7245737,0
195816000,0.033778533,-0.22215953,-1.638734,0,0.6797477,-0.06953073,-0.08793031,-0.72482884,0
195840000,0.032912083,-0.22433959,-1.6392603,0,0.6794569,-0.07064125,-0.08833564,-0.7249447,0
195864000,0.031899348,-0.21491249,-1.6397855,0,0.6795284,-0.067578025,-0.08475965,-0.7255963,0
195888000,0.030180406,-0.21675043,-1.6408325,0,0.67903274,-0.06887526,-0.084722154,-0.7259428,0
195912000,0.041131828,-0.21435791,-1.6329293,0,0.6823314,-0.06393675,-0.088140346,-0.7228881,0
195936000,0.04021673,-0.21867472,-1.6334565,0,0.6819833,-0.065839045,-0.08925794,-0.7229087,0
195960000,0.03926011,-0.22075556,-1.6339823,0,0.68169844,-0.06694399,-0.08960079,-0.7230335,0
195984000,0.03767297,-0.22453836,-1.6350298,0,0.6811484,-0.06890517,-0.090274274,-0.7232839,0
196008000,0.036736283,-0.22655664,-1.6355565,0,0.6808613,-0.06998077,-0.09060137,-0.72340995,0
196032000,0.035765193,-0.21714464,-1.6360825,0,0.68093204,-0.06691589,-0.08704142,-0.7240703,0
196056000,0.03409291,-0.2186268,-1.6371286,0,0.68045104,-0.06806919,-0.08690294,-0.7244314,0
