timestamp,indicated_airspeed_m_s,true_airspeed_m_s
149184000,11.632918,11.888034
149208000,11.5442,11.797429
149232000,11.579357,11.833248
149256000,11.48543,11.737372
149284000,11.586834,11.840922
149308000,11.735368,11.992762
149328000,11.605451,11.860061
149356000,11.550383,11.803713
149376000,11.5844145,11.838487
149400000,11.764766,12.022809
149424000,11.569604,11.8234
149448000,11.53822,11.791358
149472000,11.639291,11.894518
149496000,11.622565,11.877405
149520000,11.620684,11.875584
149544000,11.578513,11.832517
149572000,11.597884,11.852325
149592000,11.548263,11.801472
149616000,11.596509,11.8508835
149640000,11.703172,11.959818
149664000,11.65219,11.907787
149688000,11.594387,11.8487015
149712000,11.536558,11.789677
149740000,11.593153,11.847441
149760000,11.720072,11.977213
149784000,11.541546,11.794616
149808000,11.617063,11.8718605
149832000,11.609841,11.864444
149860000,11.537233,11.790277
149880000,11.528655,11.781658
149904000,11.591035,11.845289
149928000,11.543821,11.797095
149956000,11.607231,11.861916
149976000,11.457481,11.708801
150000000,11.407995,11.658291
150024000,11.566458,11.820155
150052000,11.649928,11.905465
150072000,11.560139,11.813684
150096000,11.523805,11.776694
150120000,11.6227255,11.877745
150144000,11.581607,11.835715
150168000,11.515954,11.768632
150192000,11.387694,11.63753
150216000,11.570937,11.824741
150240000,11.476779,11.728595
150264000,11.631398,11.8865185
150288000,11.547065,11.800286
150312000,11.616122,11.870786
150336000,11.486802,11.7387295
150360000,11.478803,11.730615
150384000,11.465514,11.716958
150408000,11.359816,11.609034
150432000,11.588846,11.8429575
150460000,11.518055,11.770565
150480000,11.465576,11.717183
150504000,11.563382,11.817142
150528000,11.552823,11.806244
150552000,11.44966,11.700796
150576000,11.488468,11.740632
150600000,11.387362,11.637169
150624000,11.6265545,11.881569
150648000,11.605532,11.860203
150672000,11.597121,11.851479
150696000,11.475506,11.727175
150720000,11.375401,11.624987
150744000,11.515399,11.768112
150768000,11.413529,11.663895
150792000,11.489865,11.741921
150816000,11.449568,11.700743
150840000,11.482566,11.734473
150864000,11.470513,11.722202
150888000,11.432519,11.683333
150916000,11.484906,11.736866
150936000,11.632488,11.887695
150960000,11.505672,11.758095
150984000,11.534647,11.787695
151008000,11.42292,11.673457
151032000,11.5673895,11.821245
151056000,11.63045,11.88553
151080000,11.559864,11.813355
151104000,11.507457,11.75994
151128000,11.514879,11.767399
151152000,11.3723,11.621814
151176000,11.575219,11.829141
151200000,11.395211,11.645243
151224000,11.581315,11.835376
151248000,11.369257,11.618637
151272000,11.448036,11.6991205
151296000,11.476882,11.728615
151324000,11.492001,11.744159
151344000,11.539065,11.792217
151368000,11.497952,11.750138
151392000,11.409756,11.65997
151420000,11.611305,11.866078
151440000,11.3761015,11.625576
151464000,11.4381485,11.689122
151488000,11.359283,11.60846
151512000,11.549299,11.802757
151536000,11.388875,11.638653
151560000,11.385127,11.634925
151584000,11.367814,11.617274
151608000,11.439103,11.6900215
151632000,11.509303,11.761792
151656000,11.418438,11.668946
151680000,11.518391,11.771096
151704000,11.454041,11.705315
151728000,11.351971,11.60103
151756000,11.474449,11.726222
151776000,11.492988,11.745256
151800000,11.518803,11.771466
151824000,11.405372,11.655569
151848000,11.462917,11.714389
151876000,11.36269,11.6118
151896000,11.318417,11.566659
151920000,11.34579,11.594663
151944000,11.556177,11.809631
151972000,11.436016,11.686802
151996000,11.456577,11.707802
152020000,11.279888,11.527414
152044000,11.415777,11.666199
152068000,11.479707,11.731571
152088000,11.432236,11.683089
152112000,11.381629,11.631387
152136000,11.3418865,11.590672
152160000,11.413892,11.664369
152188000,11.377075,11.626688
152208000,11.357875,11.60704
152232000,11.465479,11.717086
152256000,11.528558,11.781462
152280000,11.329913,11.578558
152304000,11.366556,11.615929
152328000,11.347805,11.596757
152352000,11.4699955,11.721588
152380000,11.344539,11.593335
152400000,11.327532,11.576072
152424000,11.4586735,11.710037
152448000,11.275024,11.522455
152472000,11.533818,11.786826
152496000,11.353994,11.603191
152524000,11.56394,11.817621
152548000,11.47332,11.725113
152568000,11.401854,11.651907
152596000,11.446656,11.697916
152620000,11.344559,11.593474
152640000,11.462408,11.713904
152668000,11.399346,11.649433
152688000,11.32876,11.577299
152712000,11.388125,11.637909
152736000,11.327429,11.575939
152760000,11.369239,11.618699
152788000,11.392403,11.642384
152808000,11.428952,11.6797085
152832000,11.340658,11.589474
152856000,11.354477,11.603615
152880000,11.429278,11.680049
152904000,11.28438,11.532036
152928000,11.3536,11.602703
152952000,11.383263,11.633026
152976000,11.469459,11.721082
153000000,11.411918,11.662299
153028000,11.265745,11.512859
153052000,11.415183,11.665721
153072000,11.4218855,11.672516
