timestamp,control[0],control[1],control[2],control[3],control[4]
128356000,-0.001301758,-0.051869914,-0.054119393,0,0
128360000,-0.001425693,-0.051914155,-0.054089386,0,0
128363999,-0.001197507,-0.05192392,-0.054145493,0,0
128372000,-0.000248052,-0.052154012,-0.054112293,0,0
128375999,-0.000437617,-0.05221542,-0.054106012,0,0
128380000,-0.000581478,-0.052269414,-0.05409478,0,0
128384000,-0.00042558,-0.052321874,-0.054068133,0,0
128387999,-0.000151663,-0.052306447,-0.05392761,0,0
128392000,0.000109238,-0.052332163,-0.053896755,0,0
128396000,0.002912727,-0.05260679,-0.05339009,0,0
128400000,0.003055033,-0.052688554,-0.05342503,0,0
128404000,0.002964814,-0.05275958,-0.053480875,0,0
128408000,0.002699101,-0.05282552,-0.05346457,0,0
128416000,0.002326105,-0.05284571,-0.05331971,0,0
128420000,0.000246501,-0.0529327,-0.053666458,0,0
128424000,6.34E-05,-0.052862637,-0.053728417,0,0
128428000,-0.000288325,-0.05281781,-0.053861428,0,0
128432000,-0.000545479,-0.052840985,-0.05398247,0,0
128436000,-0.000527005,-0.052955322,-0.054009195,0,0
128440000,-0.000374343,-0.053067755,-0.053954966,0,0
128444000,-0.002388055,-0.05327274,-0.05443168,0,0
128448000,-0.002395581,-0.053263154,-0.054379202,0,0
128452000,-0.002299791,-0.053262603,-0.054281686,0,0
128456000,-0.002311049,-0.05328411,-0.054166634,0,0
128460000,-0.002646788,-0.053320706,-0.0541346,0,0
128464000,-0.002706959,-0.053318776,-0.054160617,0,0
128468000,0.000484734,-0.05354492,-0.053485576,0,0
128472000,0.000982657,-0.053546604,-0.053465452,0,0
128475999,0.001194852,-0.05359133,-0.053471893,0,0
128480000,0.001295178,-0.053619385,-0.05352574,0,0
128484000,0.001328398,-0.05361875,-0.053568214,0,0
128487999,0.001123221,-0.053464867,-0.053073402,0,0
128492000,-0.001209055,-0.0536308,-0.053593304,0,0
128496000,-0.001588687,-0.05376958,-0.053514738,0,0
128499999,-0.001708496,-0.053883106,-0.053383883,0,0
128504000,-0.001717652,-0.053854905,-0.053325508,0,0
128508000,-0.001798398,-0.05373755,-0.053348467,0,0
128516000,0.000852759,-0.0538622,-0.052715465,0,0
128520000,0.00080666,-0.05399854,-0.05285667,0,0
128523999,0.000774973,-0.05410564,-0.05291429,0,0
128528000,0.000835706,-0.054097287,-0.052966513,0,0
128532000,0.000777021,-0.05406697,-0.053008735,0,0
128535999,0.000669427,-0.054091893,-0.053025413,0,0
128540000,-0.001521458,-0.05423518,-0.053558987,0,0
128544000,-0.001678532,-0.054294206,-0.05355051,0,0
128547999,-0.001738012,-0.05437187,-0.053510193,0,0
128552000,-0.001725157,-0.05450104,-0.053447466,0,0
128556000,-0.001720496,-0.054577507,-0.0534174,0,0
128559999,-0.001409547,-0.054559655,-0.05343677,0,0
128564000,-0.002987295,-0.054603398,-0.054034606,0,0
128568000,-0.002756978,-0.05455087,-0.05408622,0,0
128571999,-0.002869075,-0.054490108,-0.054099414,0,0
128576000,-0.003115483,-0.054422338,-0.054089695,0,0
128580000,-0.003333073,-0.05441816,-0.05406056,0,0
128588000,0.001877059,-0.054757096,-0.052848052,0,0
128595999,0.002174017,-0.054904096,-0.052900266,0,0
128600000,0.002129093,-0.054879017,-0.052739765,0,0
128604000,0.002042749,-0.05491121,-0.052718535,0,0
128612000,0.000108281,-0.05511333,-0.053126354,0,0
128616000,0.000167245,-0.055101223,-0.05322142,0,0
128619999,-0.000183959,-0.055168282,-0.053205334,0,0
128628000,-0.001137184,-0.055483945,-0.053257953,0,0
128631999,-0.00150066,-0.055576794,-0.053289387,0,0
128636000,0.001098248,-0.055744305,-0.05309584,0,0
128640000,0.001447592,-0.055619814,-0.053130317,0,0
128643999,0.001830367,-0.05557823,-0.053172648,0,0
128648000,0.002291582,-0.0556756,-0.0532257,0,0
128652000,0.002755906,-0.055829212,-0.053283956,0,0
128656000,0.00296265,-0.05591609,-0.053260993,0,0
128660000,0.000732943,-0.056095295,-0.053233616,0,0
128664000,0.000201575,-0.05603434,-0.053162266,0,0
128668000,-0.000233698,-0.05602331,-0.05311033,0,0
128672000,-0.000355124,-0.056041405,-0.053054452,0,0
128676000,-0.000138739,-0.056049418,-0.053080134,0,0
128684000,-0.001714661,-0.05618216,-0.053766634,0,0
128692000,-0.001753994,-0.05620702,-0.053892884,0,0
128696000,-0.002169407,-0.056188542,-0.053896096,0,0
128700000,-0.002336172,-0.056184176,-0.053883143,0,0
128704000,-0.002325969,-0.056190103,-0.05389208,0,0
128708000,0.000343953,-0.056451716,-0.053237844,0,0
128712000,0.000386947,-0.056421645,-0.053214274,0,0
128716000,0.000397523,-0.056486446,-0.05315683,0,0
128724000,0.000615786,-0.056544516,-0.05312985,0,0
128728000,0.000835188,-0.05659413,-0.05319683,0,0
128731999,-0.000997691,-0.0569221,-0.0537748,0,0
128736000,-0.000725438,-0.056968436,-0.0537853,0,0
128740000,-0.000792207,-0.05698832,-0.053846058,0,0
128743999,-0.001188689,-0.05704661,-0.053921785,0,0
128748000,-0.001619412,-0.057109714,-0.05392315,0,0
128752000,-0.001991844,-0.057165146,-0.053811036,0,0
128755999,0.000460415,-0.05751969,-0.052984446,0,0
128760000,0.000537779,-0.05758246,-0.05289854,0,0
128764000,0.00087394,-0.057634432,-0.05290448,0,0
