timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
16336000,47.397654917008445,8.54668885864321,501.7749,13.388123,-0.0,-3.6535983,20.296867,-6.254734,1.7229059,1.0999571,1.0139437,487.90903,2,0,1,0
16536000,47.39764809490495,8.546743559396633,502.99582,14.588654,-0.0,-3.392867,20.442553,-5.7074943,1.7072052,1.0995692,1.0138083,487.90903,2,0,1,0
16736000,47.397641839461386,8.546798664584529,504.13562,15.708069,-0.0,-3.0850835,20.547659,-5.4294395,1.6961036,1.0991822,1.0137087,487.90903,2,0,1,0
16936000,47.397636202542564,8.546853933170178,505.2324,16.784454,-0.0,-2.7630143,20.624907,-5.2517962,1.6795186,1.0987537,1.0136327,487.90903,2,0,1,0
17136000,47.39763120264776,8.54690938056301,506.29724,17.828918,-0.0,-2.4284117,20.674583,-5.1204925,1.6623969,1.0983522,1.0135726,487.90903,2,0,1,0
17336000,47.39762679025724,8.546964854922976,507.34122,18.852509,-0.0,-2.1053522,20.698578,-5.049569,1.648631,1.0979055,1.0135229,487.90903,2,0,1,0
17536000,47.397622981039255,8.547020450316554,508.37335,19.864258,-0.0,-1.7923716,20.705568,-5.0137324,1.6341707,1.0974883,1.0134805,0.0,2,0,0,0
17736000,47.39761973220666,8.54707603669661,509.3976,20.868134,-0.0,-1.4994268,20.698536,-4.992882,1.6201184,1.0970308,1.0134429,0.0,2,0,0,0
17936000,47.397616999393726,8.54713153743375,510.41827,21.868408,-0.0,-1.229909,20.684135,-4.9760704,1.6082264,1.0966026,1.0134087,0.0,2,0,0,0
18136000,47.397614758132605,8.547186876811253,511.43738,22.867126,-0.0,-0.9833558,20.657522,-4.9779105,1.5974863,1.0961357,1.0133762,0.0,2,0,0,0
18336000,47.3976129248258,8.54724216663066,512.4549,23.864258,-0.0,-0.7653714,20.629364,-4.976533,1.5870453,1.0956981,1.0133448,0.0,2,0,0,0
18536000,47.39761147365875,8.547297346075066,513.47,24.879333,-0.0,-0.570931,20.601164,-4.9709163,1.5778989,1.0952243,1.0133129,0.0,2,0,0,0
18736000,47.397610341490626,8.547352416765369,514.48206,25.871033,-0.0,-0.40184173,20.571806,-4.9638395,1.5701092,1.0947782,1.0132804,0.0,2,0,0,0
