timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
113356000,inf,0,0,0,0,0
114356000,inf,0,0,0,0,0
115356000,inf,0,0,0,0,0
116356000,inf,0,0,0,0,0
117356000,inf,0,0,0,0,0
118356000,inf,0,0,0,0,0
119356000,inf,0,0,0,0,0
120356000,inf,0,0,0,0,0
121356000,inf,0,0,0,0,0
122356000,inf,0,0,0,0,0
123356000,inf,0,0,0,0,0
124356000,inf,0,0,0,0,0
125356000,inf,0,0,0,0,0
126356000,inf,0,0,0,0,0
127356000,inf,0,0,0,0,0
128356000,inf,0,0,0,0,0
129356000,inf,0,0,0,0,0
130356000,inf,0,0,0,0,0
131356000,inf,0,0,0,0,0
132356000,inf,0,0,0,0,0
133356000,inf,0,0,0,0,0
134356000,inf,0,0,0,0,0
135356000,inf,0,0,0,0,0
136356000,inf,0,0,0,0,0
137356000,inf,0,0,0,0,0
138356000,inf,0,0,0,0,0
139356000,inf,0,0,0,0,0
140356000,inf,0,0,0,0,0
141356000,inf,0,0,0,0,0
142356000,inf,0,0,0,0,0
143356000,inf,0,0,0,0,0
144356000,inf,0,0,0,0,0
145356000,inf,0,0,0,0,0
146356000,inf,0,0,0,0,0
147356000,inf,0,0,0,0,0
148356000,inf,0,0,0,0,0
149356000,inf,0,0,0,0,0
150356000,inf,0,0,0,0,0
151356000,inf,0,0,0,0,0
152356000,inf,0,0,0,0,0
153356000,inf,0,0,0,0,0
154356000,inf,0,0,0,0,0
155356000,inf,0,0,0,0,0
156356000,inf,0,0,0,0,0
157356000,inf,0,0,0,0,0
158356000,inf,0,0,0,0,0
159356000,inf,0,0,0,0,0
160356000,inf,0,0,0,0,0
161356000,inf,0,0,0,0,0
162356000,inf,0,0,0,0,0
163356000,inf,0,0,0,0,0
164356000,inf,0,0,0,0,0
165356000,inf,0,0,0,0,0
166356000,inf,0,0,0,0,0
167356000,inf,0,0,0,0,0
168356000,inf,0,0,0,0,0
169356000,inf,0,0,0,0,0
170356000,inf,0,0,0,0,0
171356000,inf,0,0,0,0,0
172356000,inf,0,0,0,0,0
173356000,inf,0,0,0,0,0
174356000,inf,0,0,0,0,0
175356000,inf,0,0,0,0,0
176356000,inf,0,0,0,0,0
177356000,inf,0,0,0,0,0
178356000,inf,0,0,0,0,0
179356000,inf,0,0,0,0,0
180356000,inf,0,0,0,0,0
181356000,inf,0,0,0,0,0
182356000,inf,0,0,0,0,0
183356000,inf,0,0,0,0,0
184356000,inf,0,0,0,0,0
185356000,inf,0,0,0,0,0
186356000,inf,0,0,0,0,0
187356000,inf,0,0,0,0,0
188356000,inf,0,0,0,0,0
189356000,inf,0,0,0,0,0
190356000,inf,0,0,0,0,0
191356000,inf,0,0,0,0,0
192356000,inf,0,0,0,0,0
193356000,inf,0,0,0,0,0
194356000,inf,0,0,0,0,0
195356000,inf,0,0,0,0,0
196356000,inf,0,0,0,0,0
197356000,inf,0,0,0,0,0
198356000,inf,0,0,0,0,0
199356000,inf,0,0,0,0,0
200356000,inf,0,0,0,0,0
201356000,inf,0,0,0,0,0
202356000,inf,0,0,0,0,0
203356000,inf,0,0,0,0,0
204356000,inf,0,0,0,0,0
205356000,inf,0,0,0,0,0
206356000,inf,0,0,0,0,0
207356000,inf,0,0,0,0,0
208356000,inf,0,0,0,0,0
209356000,inf,0,0,0,0,0
210356000,inf,0,0,0,0,0
211356000,inf,0,0,0,0,0
212356000,inf,0,0,0,0,0
213356000,inf,0,0,0,0,0
214356000,inf,0,0,0,0,0
215356000,inf,0,0,0,0,0
216356000,inf,0,0,0,0,0
217356000,inf,0,0,0,0,0
218356000,inf,0,0,0,0,0
219356000,inf,0,0,0,0,0
220356000,inf,0,0,0,0,0
221356000,inf,0,0,0,0,0
222356000,inf,0,0,0,0,0
223356000,inf,0,0,0,0,0
224356000,inf,0,0,0,0,0
225356000,inf,0,0,0,0,0
226356000,inf,0,0,0,0,0
227356000,inf,0,0,0,0,0
228356000,inf,0,0,0,0,0
229356000,inf,0,0,0,0,0
230356000,inf,0,0,0,0,0
231356000,inf,0,0,0,0,0
232356000,inf,0,0,0,0,0
233356000,inf,0,0,0,0,0
234356000,inf,0,0,0,0,0
235356000,inf,0,0,0,0,0
236356000,inf,0,0,0,0,0
237356000,inf,0,0,0,0,0
238356000,inf,0,0,0,0,0
239356000,inf,0,0,0,0,0
240356000,inf,0,0,0,0,0
241356000,inf,0,0,0,0,0
242356000,inf,0,0,0,0,0
243356000,inf,0,0,0,0,0
244356000,inf,0,0,0,0,0
245356000,inf,0,0,0,0,0
246356000,inf,0,0,0,0,0
247356000,inf,0,0,0,0,0
248356000,inf,0,0,0,0,0
249356000,inf,0,0,0,0,0
250356000,inf,0,0,0,0,0
251356000,inf,0,0,0,0,0
252356000,inf,0,0,0,0,0
253356000,inf,0,0,0,0,0
254356000,inf,0,0,0,0,0
255356000,inf,0,0,0,0,0
256356000,inf,0,0,0,0,0
257356000,inf,0,0,0,0,0
258356000,inf,0,0,0,0,0
258596000,inf,0,0,0,1,0
259596000,inf,0,0,0,1,0
