timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
13472000,0.0,-0.046902273,1.6131141,0.0,0.69179773,0.016928034,-0.016226416,0.7217105,1.0,0.0,0.0,1,0,0,0,1,2
13496000,0.0,-0.040449448,1.6131141,0.0,0.6918465,0.014599415,-0.013994312,0.72176135,1.0,0.0,0.0,1,0,0,0,1,2
13520000,0.0,-0.03401805,1.6131141,0.0,0.6918879,0.012278377,-0.0117694745,0.72180456,1.0,0.0,0.0,1,0,0,0,1,2
13544000,0.0,-0.027602557,1.6131141,0.0,0.69192207,0.009962951,-0.009550016,0.7218402,1.0,0.0,0.0,1,0,0,0,1,2
13568000,0.0,-0.021197923,1.6131141,0.0,0.6919491,0.007651342,-0.0073342165,0.72186846,1.0,0.0,0.0,1,0,0,0,1,2
13592000,0.0,-0.014804503,1.6131141,0.0,0.69196904,0.005343703,-0.0051222225,0.7218892,1.0,0.0,0.0,1,0,0,0,1,2
13616000,0.0,-0.008417852,1.6131141,0.0,0.69198185,0.0030384525,-0.0029125176,0.72190255,1.0,0.0,0.0,1,0,0,0,1,2
13640000,0.0,-0.0020338707,1.6131141,0.0,0.69198763,0.0007341346,-0.0007037069,0.7219086,1.0,0.0,0.0,1,0,0,0,1,2
13664000,0.0,0.004351198,1.6131141,0.0,0.6919863,-0.0015705833,0.0015054874,0.72190726,1.0,0.0,0.0,1,0,0,0,1,2
13688000,0.0,0.010738083,1.6131141,0.0,0.69197804,-0.0038759408,0.0037152946,0.72189856,1.0,0.0,0.0,1,0,0,0,1,2
13712000,0.0,0.017130038,1.6131141,0.0,0.6919626,-0.0061830888,0.005926818,0.7218825,1.0,0.0,0.0,1,0,0,0,1,2
13736000,0.0,0.023530034,1.6131141,0.0,0.6919401,-0.008493076,0.008141063,0.72185904,1.0,0.0,0.0,1,0,0,0,1,2
13760000,0.0,0.0299408,1.6131141,0.0,0.69191045,-0.010806863,0.010358951,0.7218281,1.0,0.0,0.0,1,0,0,0,1,2
13784000,0.0,0.03636275,1.6131141,0.0,0.6918736,-0.013124574,0.0125806,0.72178966,1.0,0.0,0.0,1,0,0,0,1,2
13808000,0.0,0.04279818,1.6131141,0.0,0.69182956,-0.015447016,0.014806783,0.7217437,1.0,0.0,0.0,1,0,0,0,1,2
13832000,0.0,0.049249176,1.6131141,0.0,0.6917782,-0.017774915,0.017038196,0.7216901,1.0,0.0,0.0,1,0,0,0,1,2
13856000,0.0,0.055717632,1.6131141,0.0,0.6917194,-0.020108927,0.019275472,0.72162884,1.0,0.0,0.0,1,0,0,0,1,2
13880000,0.0,0.062205262,1.6131141,0.0,0.6916533,-0.02244965,0.021519177,0.7215598,1.0,0.0,0.0,1,0,0,0,1,2
13904000,0.0,0.06871199,1.6131141,0.0,0.69157964,-0.024797022,0.02376926,0.721483,1.0,0.0,0.0,1,0,0,0,1,2
13928000,0.0,0.0752392,1.6131141,0.0,0.6914984,-0.02715152,0.026026169,0.72139823,1.0,0.0,0.0,1,0,0,0,1,2
13952000,0.0,0.081788145,1.6131141,0.0,0.6914094,-0.029513571,0.028290322,0.72130543,1.0,0.0,0.0,1,0,0,0,1,2
13976000,0.0,0.08835993,1.6131141,0.0,0.69131273,-0.031883538,0.03056206,0.7212046,1.0,0.0,0.0,1,0,0,0,1,2
14000000,0.0,0.09495473,1.6131141,0.0,0.69120824,-0.03426146,0.032841425,0.7210955,1.0,0.0,0.0,1,0,0,0,1,2
14024000,0.0,0.10157339,1.6131141,0.0,0.69109577,-0.036647614,0.03512868,0.7209782,1.0,0.0,0.0,1,0,0,0,1,2
14048000,0.0,0.108216636,1.6131141,0.0,0.6909753,-0.039042223,0.03742404,0.7208525,1.0,0.0,0.0,1,0,0,0,1,2
14072000,0.0,0.114885055,1.6131141,0.0,0.6908466,-0.041445475,0.039727684,0.72071826,1.0,0.0,0.0,1,0,0,0,1,2
14096000,0.0,0.12157827,1.6131141,0.0,0.6907098,-0.043857202,0.04203945,0.7205756,1.0,0.0,0.0,1,0,0,0,1,2
14120000,0.0,0.12829663,1.6131141,0.0,0.69056475,-0.04627749,0.044359423,0.7204242,1.0,0.0,0.0,1,0,0,0,1,2
14144000,0.0,0.1350404,1.6131141,0.0,0.6904112,-0.048706412,0.046687678,0.720264,1.0,0.0,0.0,1,0,0,0,1,2
14168000,0.0,0.14180975,1.6131141,0.0,0.69024926,-0.051143985,0.04902422,0.72009504,1.0,0.0,0.0,1,0,0,0,1,2
14192000,0.0,0.1486057,1.6131141,0.0,0.6900787,-0.053590555,0.051369384,0.7199171,1.0,0.0,0.0,1,0,0,0,1,2
14216000,0.0,0.15542822,1.6131141,0.0,0.68989944,-0.056046057,0.053723115,0.71973014,1.0,0.0,0.0,1,0,0,0,1,2
14240000,0.0,0.16227713,1.6131141,0.0,0.6897114,-0.05851041,0.05608533,0.719534,1.0,0.0,0.0,1,0,0,0,1,2
14264000,0.0,0.16915224,1.6131141,0.0,0.6895145,-0.0609835,0.058455914,0.7193286,1.0,0.0,0.0,1,0,0,0,1,2
14288000,0.0,0.17605464,1.6131141,0.0,0.68930864,-0.06346568,0.06083521,0.7191138,1.0,0.0,0.0,1,0,0,0,1,2
14312000,0.0,0.18298395,1.6131141,0.0,0.68909377,-0.06595677,0.06322306,0.71888965,1.0,0.0,0.0,1,0,0,0,1,2
14336000,0.0,0.1899397,1.6131141,0.0,0.6888697,-0.068456575,0.06561925,0.7186559,1.0,0.0,0.0,1,0,0,0,1,2
14359999,0.0,0.19692105,1.6131141,0.0,0.6886365,-0.070964746,0.068023466,0.7184126,1.0,0.0,0.0,1,0,0,0,1,2
14384000,0.0,0.20392837,1.6131141,0.0,0.68839395,-0.07348138,0.07043579,0.7181595,1.0,0.0,0.0,1,0,0,0,1,2
