timestamp,timestamp_sample,device_id,x,y,z,temperature
9980000,9980000,2294028,-0.0032858315,-0.00808588,0.007304843,11.828796
10080000,10080000,2294028,0.00017442975,0.0014574114,0.014015955,11.828796
10180000,10180000,2294028,-0.0012613903,-0.013996908,0.008136428,11.828796
10280000,10280000,2294028,0.0011802072,-0.0070993113,-0.0012662254,11.828796
10380000,10380000,2294028,-0.0031305777,-0.0014127997,0.0016430314,11.828796
10480000,10480000,2294028,-0.005306257,-0.013905982,-0.005187471,11.828796
10580000,10580000,2294028,0.0012574153,-0.010525916,-0.0052252486,11.828796
10680000,10680000,2294028,-0.011161654,-0.011375726,0.00011802048,11.828796
10780000,10780000,2294028,-0.0013027877,-0.0072779153,-0.0062714247,11.828796
10880000,10880000,2294028,-0.010915627,-0.0037655535,0.0080122305,11.828796
10980000,10980000,2294028,-0.00067669316,-0.006140358,7.871355e-05,11.828796
11080000,11080000,2294028,-0.0039626216,0.0064436966,-0.0022410806,11.828796
11180000,11180000,2294028,-0.0036086664,-0.015949093,0.0019482804,11.828796
11280000,11280000,2294028,-0.0021671597,-0.011183042,0.0002323627,11.828796
11380000,11380000,2294028,-0.012881758,-0.0053676134,-0.002964176,11.828796
11480000,11480000,2294028,-0.013028996,-0.0063180393,0.009791164,11.828796
11580000,11580000,2294028,0.0012741196,0.0031134153,0.005791853,11.828796
11680000,11680000,2294028,0.0011304946,-0.005926267,0.0029851312,11.828796
11780000,11780000,2294028,-0.012339614,-0.01147234,-0.006520282,11.828796
11880000,11880000,2294028,-0.0018727945,-0.0031362616,0.0010496099,11.828796
11980000,11980000,2294028,-0.00060751085,-0.0049579903,0.0035260275,11.828796
12080000,12080000,2294028,0.0025375187,-0.0068595274,-0.0035940562,11.828796
12180000,12180000,2294028,-0.0019761329,-0.010344878,0.0028313368,11.828796
12280000,12280000,2294028,-0.014343523,-0.005421851,-0.0015340777,11.828796
12380000,12380000,2294028,-0.0094628,-0.0081974035,0.005181831,11.828796
12480000,12480000,2294028,-0.002648,-0.004332995,0.0019840247,11.828796
12580000,12580000,2294028,-0.0035293302,-0.0042677824,-0.009856292,11.828796
12680000,12680000,2294028,0.0049922876,0.003539068,0.005354841,11.828796
12780000,12780000,2294028,0.03637487,-0.015646918,0.2041948,11.828796
12880000,12880000,2294028,0.19701517,-0.004336986,0.30447242,11.828766
12980000,12980000,2294028,0.33987626,-0.02274227,-0.021823948,11.828735
13080000,13080000,2294028,0.3484708,-0.060472038,-0.2260802,11.828674
13180000,13180000,2294028,0.27830058,-0.013288891,-0.21233165,11.828613
13280000,13280000,2294028,0.23340142,0.032654118,0.037677363,11.828583
13380000,13380000,2294028,0.20832762,0.17575479,0.14476815,11.828522
13480000,13480000,2294028,0.15965503,0.22871834,0.1352145,11.828308
13580000,13580000,2294028,0.11733801,0.1972351,0.044422217,11.82782
13680000,13680000,2294028,0.08623959,0.15542015,0.009189739,11.827087
13780000,13780000,2294028,0.058437414,0.13637972,0.017934809,11.82605
13880000,13880000,2294028,0.055683646,0.13906845,0.07064047,11.824799
13980000,13980000,2294028,0.044379447,0.15859054,0.091861404,11.823334
14080000,14080000,2294028,0.020545881,0.16509083,0.06482019,11.821655
14180000,14180000,2294028,0.02431721,0.16123506,0.04363753,11.819763
14280000,14280000,2294028,0.021055117,0.14596695,0.030591415,11.817535
14384000,14384000,2294028,0.0043359823,0.15445447,0.051500246,11.815216
14484000,14484000,2294028,0.0050441893,0.15987289,0.06385779,11.812683
14588000,14588000,2294028,0.0022349984,0.15418981,0.055579208,11.809814
14688000,14688000,2294028,-0.00889704,0.16664653,0.05426776,11.806854
14787999,14787999,2294028,-0.0041433964,0.16833009,0.047347825,11.803589
14888000,14888000,2294028,-0.0093037505,0.16852657,0.043136332,11.800201
14992000,14992000,2294028,-0.015424167,0.13769192,0.051772285,11.7966
15092000,15092000,2294028,-0.2317784,0.1116317,0.045415215,11.792786
15192000,15192000,2294028,-0.30303258,0.07270093,0.023225399,11.788666
15292000,15292000,2294028,-0.28917274,0.053224716,0.007110786,11.784546
15392000,15392000,2294028,-0.2591199,0.0367015,-0.002266763,11.780334
15492000,15492000,2294028,-0.21267453,0.037281834,-0.005778591,11.7760315
15592000,15592000,2294028,-0.1907437,0.019285055,-0.0055057374,11.771851
15692000,15692000,2294028,-0.17410676,0.013136017,-0.017543525,11.767456
15792000,15792000,2294028,-0.1480169,0.01456058,-0.016802974,11.762817
15892000,15892000,2294028,-0.3342355,0.07633156,0.03097853,11.758514
15992000,15992000,2294028,-0.33109936,0.024205768,0.02495541,11.753845
16092000,16092000,2294028,-0.27435884,-0.08873926,-0.03950203,11.749542
16192000,16192000,2294028,-0.19620207,-0.14803839,-0.094573475,11.744904
16292000,16292000,2294028,-0.1334064,-0.15956073,-0.11786712,11.740753
16392000,16392000,2294028,-0.1021001,-0.122008964,-0.09199891,11.73645
16492000,16492000,2294028,-0.07639183,-0.06764185,-0.060456734,11.732513
16592000,16592000,2294028,-0.038231995,-0.050542995,-0.050664205,11.72876
16692000,16692000,2294028,-0.02773317,-0.04704449,-0.059958585,11.72522
16792000,16792000,2294028,-0.0225739,-0.026942492,-0.06985731,11.721497
16892000,16892000,2294028,-0.006584895,-0.027382273,-0.084486224,11.718079
16992000,16992000,2294028,-0.00701598,-0.015939517,-0.08500721,11.714478
17092000,17092000,2294028,0.0075612725,-0.018207818,-0.07471717,11.711029
17192000,17192000,2294028,0.0098168105,-0.0069076163,-0.058081362,11.707794
17292000,17292000,2294028,0.022145288,-0.010009547,-0.058526527,11.704285
17392000,17392000,2294028,0.024140814,-0.010233397,-0.05729284,11.70108
17492000,17492000,2294028,0.036457434,0.0010757573,-0.074659325,11.697754
17592000,17592000,2294028,0.03460198,0.0022611762,-0.06280368,11.694458
17692000,17692000,2294028,0.028248325,0.0007831182,-0.05869775,11.6910095
17792000,17792000,2294028,0.046674468,-0.0029358515,-0.060654625,11.687836
17892000,17892000,2294028,0.04416683,0.002163659,-0.05375501,11.68457
17992000,17992000,2294028,0.04042285,-0.0052588107,-0.05385702,11.681152
18092000,18092000,2294028,0.053130392,-0.00467929,-0.054895625,11.677887
18192000,18192000,2294028,0.05088951,-0.0020761332,-0.051558364,11.674744
18292000,18292000,2294028,0.044404767,-0.014290046,-0.035922628,11.671478
18392000,18392000,2294028,0.046655055,-0.0048969435,-0.037056796,11.668213
18492000,18492000,2294028,0.051018566,-0.010451212,-0.045334544,11.6649475
18592000,18592000,2294028,0.052722316,-0.0016384026,-0.030547611,11.661591
18692000,18692000,2294028,0.038916517,-0.010265001,-0.029715108,11.658447
18792000,18792000,2294028,0.05089615,-0.011314779,-0.034954455,11.655212
18892000,18892000,2294028,0.03675304,-0.003867779,-0.028820707,11.651978
18992000,18992000,2294028,0.043813843,-0.01214729,-0.03835836,11.648621
19092000,19092000,2294028,0.03240021,-0.0040857047,-0.02076306,11.645386
19192000,19192000,2294028,0.04809105,-0.0038028825,-0.027053896,11.642273
19292000,19292000,2294028,0.032206926,-0.0040482157,-0.012113478,11.638916
19392000,19392000,2294028,0.025867982,-0.011546946,-0.01378868,11.635834
19492000,19492000,2294028,0.027556248,-0.0036358428,-0.021475274,11.632599
19592000,19592000,2294028,0.030602429,-0.0060105924,-0.015995743,11.629242
19692000,19692000,2294028,0.032058526,-0.0064348313,-0.014117473,11.626129
19792000,19792000,2294028,0.019295854,-0.008950332,-0.012603083,11.622803
19892000,19892000,2294028,0.015099814,-0.011373372,-0.008569656,11.619568
19992000,19992000,2294028,0.02567555,-0.00041377026,-0.015215035,11.616364
20092000,20092000,2294028,0.014439134,-0.0066939676,-0.020211194,11.613281
20192000,20192000,2294028,0.015673526,-0.00826808,-0.008119461,11.610077
20292000,20292000,2294028,0.0064212694,-0.0033013104,-0.0049805893,11.606873
20392000,20392000,2294028,0.01047965,-0.0028924935,-0.00570918,11.603516
20492000,20492000,2294028,0.006138033,-0.01096171,-0.015914435,11.600464
20592000,20592000,2294028,0.02060268,-0.0051253983,-0.007438705,11.5972595
20692000,20692000,2294028,0.013858114,-0.0048876535,0.00028832688,11.593933
20792000,20792000,2294028,0.004730753,0.00062760373,-0.0067208195,11.590851
20892000,20892000,2294028,0.017390933,-0.020492416,-0.008456332,11.587677
20992000,20992000,2294028,0.012097332,-0.0058787754,-0.0061770077,11.584503
21092000,21092000,2294028,0.0023489625,-0.006016582,-0.0009834975,11.581329
21192000,21192000,2294028,0.0033852742,-0.0055837836,0.0037607853,11.5781555
21292000,21292000,2294028,0.0055028554,-0.015194952,-0.0041588093,11.57486
21392000,21392000,2294028,0.007966475,-0.0021875885,0.0013021517,11.571838
21492000,21492000,2294028,0.0011520429,-0.0032153483,-0.008038215,11.568665
21592000,21592000,2294028,0.00085207797,-0.0020035035,-0.00040961895,11.565521
21692000,21692000,2294028,-0.004790796,-0.0067248046,-0.0073641306,11.562256
21792000,21792000,2294028,0.0027147294,-0.011960754,0.0005608993,11.559235
21892000,21892000,2294028,0.0027239074,-0.0062167244,-0.01273764,11.556091
21992000,21992000,2294028,-0.008412557,-0.002953411,-0.004682547,11.5529785
22092000,22092000,2294028,-0.0033702005,-0.008168175,-0.0014286854,11.549835
22192000,22192000,2294028,0.006440104,0.0031531693,0.0045561027,11.5466
22292000,22292000,2294028,-0.002242963,-0.0057131196,-0.00041680926,11.54361
22392000,22392000,2294028,-0.0041085845,-0.01027712,0.001468154,11.540466
22492000,22492000,2294028,-0.009181376,-0.005099433,-0.013651375,11.537262
22592000,22592000,2294028,-0.0065438105,-0.008494575,-0.005849634,11.534149
22692000,22692000,2294028,0.0068488475,-0.0066571324,-0.008066772,11.531158
22792000,22792000,2294028,-0.0026208055,-0.014680704,-0.007817413,11.527954
22892000,22892000,2294028,-0.0037518546,-0.0051930845,0.0051514716,11.524994
22992000,22992000,2294028,-0.003117392,0.0014556175,-0.006474743,11.521759
23092000,23092000,2294028,-0.0017358765,-0.005273755,-0.005607772,11.518799
23192000,23192000,2294028,0.0125448685,-0.0054726615,0.011846261,11.5155945
23292000,23292000,2294028,-0.0043803025,-0.0018027407,-0.00350365,11.512665
23392000,23392000,2294028,0.011180941,-0.008019642,0.0044596,11.5095825
23492000,23492000,2294028,-0.0033627907,-0.0005199739,-0.007937467,11.506378
23592000,23592000,2294028,-0.0017610128,-0.012771768,-0.008401087,11.503326
23692000,23692000,2294028,-0.0019831967,-0.008009442,-0.0023864682,11.500366
23792000,23792000,2294028,-0.0047546085,-0.010912095,-0.0105701685,11.497192
23892000,23892000,2294028,-0.018525826,-0.013858356,-0.0016214197,11.494232
23992000,23992000,2294028,-0.04213259,-0.060962815,-0.009411791,11.491058
24092000,24092000,2294028,-0.06770447,-0.09034589,-0.014892201,11.488068
24192000,24192000,2294028,-0.06323767,-0.12717114,-0.0019537169,11.485321
24292000,24292000,2294028,-0.06694993,-0.1593327,-0.007051158,11.482452
24392000,24392000,2294028,-0.066305526,-0.18846118,-0.011060885,11.480011
24492000,24492000,2294028,-0.042336527,-0.18827288,-0.018358603,11.477692
24592000,24592000,2294028,-0.04985476,-0.16286066,-0.013785272,11.475494
24692000,24692000,2294028,-0.051688775,-0.15165736,-0.026481286,11.473724
24792000,24792000,2294028,-0.03798446,-0.1408954,-0.023463713,11.472015
24892000,24892000,2294028,-0.027544534,-0.14051153,-0.025991954,11.470581
24992000,24992000,2294028,-0.027503118,-0.13480079,-0.03293471,11.46936
25092000,25092000,2294028,-0.014890128,-0.13468276,-0.036672283,11.468262
25192000,25192000,2294028,-0.01659524,-0.12044554,-0.023052456,11.467346
25292000,25292000,2294028,0.0060513765,-0.12110563,-0.038463734,11.466644
25392000,25392000,2294028,0.0022843904,-0.1056426,-0.029966917,11.466064
25492000,25492000,2294028,0.011980319,-0.08979007,-0.02617703,11.465607
25592000,25592000,2294028,0.005838229,-0.09640678,-0.035896756,11.465271
25692000,25692000,2294028,0.013723059,-0.07845622,-0.029423954,11.465088
25792000,25792000,2294028,0.018787004,-0.07584182,-0.021967154,11.464996
25892000,25892000,2294028,0.011667506,-0.07024873,-0.023246802,11.464996
25992000,25992000,2294028,0.005103399,-0.06315066,-0.017454656,11.465088
26092000,26092000,2294028,0.012527042,-0.054701645,-0.02930559,11.4652405
26192000,26192000,2294028,0.031116521,-0.059099186,-0.022013027,11.465515
26292000,26292000,2294028,0.025136305,-0.04353255,-0.023307275,11.46579
26392000,26392000,2294028,0.02548972,-0.0464765,-0.01897554,11.466156
26492000,26492000,2294028,0.031656515,-0.023865081,-0.019991046,11.466583
26592000,26592000,2294028,0.028057536,-0.035750933,-0.017362446,11.4670105
26692000,26692000,2294028,0.02810745,-0.035524093,-0.0200751,11.467529
26792000,26792000,2294028,0.024628185,-0.0215049,-0.013558577,11.468048
26892000,26892000,2294028,0.027441325,-0.020770716,-0.018248996,11.468597
26992000,26992000,2294028,0.027105087,-0.0068728114,-0.007936162,11.469177
27092000,27092000,2294028,0.03340837,-0.012133001,-0.0103484625,11.469757
27192000,27192000,2294028,0.02804403,-0.023053182,-0.00073374924,11.470398
27292000,27292000,2294028,0.026952555,-0.014645462,0.0059148343,11.471039
27392000,27392000,2294028,0.019799538,-0.015351035,0.0025091628,11.471649
27492000,27492000,2294028,0.01861874,-0.013346973,-0.0033113775,11.472351
27592000,27592000,2294028,0.0121476045,-0.0063636927,0.003862194,11.472992
27692000,27692000,2294028,0.019582408,-0.01433824,-0.0045772134,11.473663
27792000,27792000,2294028,0.02968598,-0.010569561,-0.0017218001,11.474335
27892000,27892000,2294028,0.02537608,-0.002838031,-0.0036101034,11.475006
27992000,27992000,2294028,0.017867086,-0.0031442214,0.008384777,11.475647
28092000,28092000,2294028,0.036512647,-0.0023582787,0.008432502,11.476318
28192000,28192000,2294028,0.016111197,0.0047336933,0.01431882,11.47702
28292000,28292000,2294028,0.016930752,0.002618398,0.011642537,11.477661
28392000,28392000,2294028,0.017916294,-0.0037913916,0.010300224,11.478302
28492000,28492000,2294028,0.007942048,-0.0006142081,0.013755492,11.478973
28592000,28592000,2294028,0.0036803146,-0.0054102424,0.020350594,11.479645
28692000,28692000,2294028,0.014491206,0.0031820738,0.018723423,11.480255
28792000,28792000,2294028,0.022523044,8.942984e-05,0.007303411,11.480896
28892000,28892000,2294028,0.013624389,0.00060331996,0.01734227,11.481537
28992000,28992000,2294028,0.005800488,0.002466447,0.012931974,11.482178
29092000,29092000,2294028,0.009341139,0.006271669,0.014368768,11.482788
29192000,29192000,2294028,0.0076189023,0.0088797165,0.0053241164,11.483398
29292000,29292000,2294028,-0.0029004216,0.009466718,0.016634079,11.483978
29392000,29392000,2294028,0.0032582644,0.0073361886,0.0062658545,11.484558
29492000,29492000,2294028,0.004110474,0.005505536,0.015088515,11.485138
29592000,29592000,2294028,0.0021811412,0.005124956,0.014056835,11.485718
29692000,29692000,2294028,0.010650023,-0.00067586236,0.024267077,11.486237
29792000,29792000,2294028,0.0058188885,0.00370541,0.013863597,11.486816
29892000,29892000,2294028,0.0036399695,-0.0012047673,0.014900358,11.487335
29992000,29992000,2294028,0.020407869,0.026003197,0.021348383,11.4878845
30092000,30092000,2294028,0.06910525,0.1100904,0.033629052,11.488373
30192000,30192000,2294028,0.083037525,0.18177879,0.035836067,11.4888
30292000,30292000,2294028,0.091859154,0.24018447,0.018942665,11.489105
30392000,30392000,2294028,0.08046188,0.25720987,0.026280368,11.489166
30496000,30496000,2294028,0.053381603,0.24679929,0.021570724,11.488892
30596000,30596000,2294028,0.0463003,0.21037541,0.048233368,11.488312
30700000,30700000,2294028,0.026542803,0.18002814,0.050815888,11.487366
30800000,30800000,2294028,0.008138686,0.15383823,0.045078956,11.486176
30904000,30904000,2294028,0.0039958213,0.1402667,0.042971537,11.484558
31008000,31008000,2294028,-0.005684523,0.13072988,0.026070533,11.482849
31108000,31108000,2294028,-0.022778073,0.12290763,0.030487541,11.4809265
31212000,31212000,2294028,-0.036124453,0.10932604,0.019815128,11.478638
31316000,31316000,2294028,-0.031505838,0.091756076,0.020263996,11.476349
31416000,31416000,2294028,-0.04414661,0.07513084,0.028652785,11.473816
31520000,31520000,2294028,-0.051128544,0.060176574,0.021338902,11.471161
31624000,31624000,2294028,-0.049640816,0.05128284,0.0283438,11.468414
31724000,31724000,2294028,-0.050717052,0.044798978,0.022791248,11.465668
31828000,31828000,2294028,-0.041762512,0.04186739,0.016306268,11.46283
31928000,31928000,2294028,-0.05504702,0.03065405,0.012804709,11.4599
32028000,32028000,2294028,-0.03359474,0.02940444,0.012078599,11.45694
32128000,32128000,2294028,-0.039577726,0.024717344,0.0094747245,11.453796
32228000,32228000,2294028,-0.028568927,0.009575963,0.008408331,11.450867
32328000,32328000,2294028,-0.033711836,0.023144446,0.0073290295,11.447754
32428000,32428000,2294028,-0.026234092,0.012970172,0.003296142,11.44458
32528000,32528000,2294028,-0.041459877,0.013626977,0.0017994541,11.441284
32628000,32628000,2294028,-0.03167616,0.0054347417,0.0026353202,11.438049
32728000,32728000,2294028,-0.026560897,0.013077565,0.008584788,11.434814
32828000,32828000,2294028,-0.020249799,0.012000442,-0.0022855063,11.431671
32928000,32928000,2294028,-0.028313307,0.010173594,-0.004717691,11.428375
33028000,33028000,2294028,-0.018043157,0.011935936,0.0021579715,11.424927
33128000,33128000,2294028,-0.033005867,-0.011165637,-0.001909111,11.4216
33228000,33228000,2294028,-0.031927906,0.0072064614,-0.012487294,11.418396
33328000,33328000,2294028,-0.026028268,0.0013953614,-0.0148764895,11.415039
33428000,33428000,2294028,-0.019945156,0.009381138,-0.014978831,11.41156
33528000,33528000,2294028,-0.023278449,-0.005401937,-0.0067623844,11.408173
33628000,33628000,2294028,-0.010533816,-0.001351139,-0.005401842,11.404785
33728000,33728000,2294028,-0.023936428,0.0065767635,-0.0072984826,11.401398
33828000,33828000,2294028,-0.019636022,0.0021777,-0.005034648,11.39801
33928000,33928000,2294028,-0.011470052,0.004245679,-0.01095087,11.394592
34028000,34028000,2294028,-0.01918484,-0.0023155708,-0.0065434477,11.391327
34128000,34128000,2294028,-0.010294572,-0.002696691,-0.0029080948,11.387787
34228000,34228000,2294028,-0.015367459,0.0050227363,-0.0021384351,11.384369
34328000,34328000,2294028,-0.0078076925,-0.008028337,-0.009694864,11.380951
34428000,34428000,2294028,0.007914605,-0.010603334,-0.0022735498,11.377533
34528000,34528000,2294028,-0.0057881814,-0.004321209,-0.00067329465,11.374115
34628000,34628000,2294028,-0.0054426207,-0.0010803874,-0.007591732,11.37085
34728000,34728000,2294028,0.0011326409,-0.009123852,-0.0035573828,11.367279
34828000,34828000,2294028,-0.0024071406,-0.0046523837,-0.018587194,11.364014
34928000,34928000,2294028,-0.0030961412,-0.0062222397,-0.01163986,11.360596
35028000,35028000,2294028,0.00028931818,-0.004571369,-0.016547404,11.357178
35128000,35128000,2294028,-0.004384794,-0.006865973,-0.005589822,11.35376
35228000,35228000,2294028,-0.0061439434,-0.0017528541,-0.017466385,11.350342
35328000,35328000,2294028,0.009015487,0.0015075594,-0.013045741,11.346924
35428000,35428000,2294028,0.005536165,-0.010617316,-0.018167173,11.343506
35528000,35528000,2294028,0.0050690267,-0.0036938607,-0.004176532,11.339935
35628000,35628000,2294028,-0.006197691,-0.0076213474,-0.00608999,11.336517
35728000,35728000,2294028,0.008577379,-0.0025474357,-0.0068282727,11.333099
35828000,35828000,2294028,0.0056062173,0.0011395634,-0.0072013466,11.329834
35928000,35928000,2294028,0.009567995,-0.0021527656,-0.0221274,11.326294
36028000,36028000,2294028,0.0011903635,-0.0069196415,-0.008845152,11.323029
36128000,36128000,2294028,-0.0059878253,-0.002694711,-0.009179655,11.319458
36228000,36228000,2294028,-0.0009065915,0.0013782027,-0.013455378,11.316193
36328000,36328000,2294028,-0.003778316,0.007079576,-0.012412418,11.312805
36428000,36428000,2294028,0.0038016436,-0.0007549998,-0.0054634335,11.309265
36528000,36528000,2294028,-0.011725332,-0.01641164,-0.007253064,11.306
36628000,36628000,2294028,0.00394473,-0.0005670382,-0.004885354,11.302582
36728000,36728000,2294028,-0.014067194,-0.0011918803,-0.0005646007,11.299194
36828000,36828000,2294028,0.004360943,0.004799077,-0.003527421,11.295654
36928000,36928000,2294028,0.0053077615,-0.0020880648,-0.01241237,11.292267
