timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
234976000,0.038398102,0.050585747,-0.0019569397,0.028060913,0.1720581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.076660156,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0014973083,0.003936976,0.0011650622,0.0,0.0,-0.0939703,0.0053318907,0.0
235176000,0.065703675,0.040291786,-0.06155789,0.026565552,0.07077026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.13327026,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0017623168,-0.0010063499,-0.0048895776,0.0,0.0,-0.035969734,0.0056473156,0.0
235376000,0.0606879,0.04361534,-0.05793345,0.03504944,0.16555786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.03543091,0.0,0.0,nan,0.0,0.0,-0.01589775,0.0011284135,0.00084370375,0.0017229021,0.0,0.0,-0.0821476,0.005387195,0.0
235576000,0.0506199,0.023996353,-0.024837375,0.03614807,0.11291504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.08468628,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.00081084855,0.0010617077,0.00090134144,0.0,0.0,-0.06295967,0.0050817714,0.0
235776000,0.07678723,0.0074720383,0.0015006065,0.03715515,0.10861206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.027252197,0.0,0.0,nan,0.0,0.0,-0.01589775,0.00014146487,0.00022007525,-0.0015370846,0.0,0.0,-0.036657333,0.0050137877,0.0
235976000,0.064371616,0.0119133,-0.0441494,0.039398193,0.111816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.049041748,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0014478874,0.0005519688,0.000895828,0.0,0.0,0.047011375,0.0045299516,0.0
236176000,0.057823926,0.00071048737,-0.058648586,0.02998352,0.15594482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.1177063,0.0,0.0,nan,0.0,0.0,-0.01589775,0.0025891825,-0.0016706884,-0.0027799308,0.0,0.0,0.041291237,0.0041962024,0.0
236376000,0.033632934,0.0107393265,-0.0047410727,0.03704834,0.06665039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.038116455,0.0,0.0,nan,0.0,0.0,-0.01589775,0.00064515136,0.0019547343,0.0010398328,0.0,0.0,0.04924774,0.0045467257,0.0
236576000,0.044907898,0.008066177,-0.06751883,0.0446167,0.16018677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.054107666,0.0,0.0,nan,0.0,0.0,-0.01589775,0.0012124982,0.0030036718,-0.0024628043,0.0,0.0,-0.035320282,0.0043837754,0.0
236776000,0.062164396,0.023171425,-0.059640884,0.04144287,0.10772705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.05859375,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.000900171,0.002671674,-0.0003914535,0.0,0.0,0.0931654,0.004268781,0.0
