timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
83432000,83428000,4000000.0,1.0,0.11254979,12.382469,0.0,255,0,6,4,0,0,0,0,1,1,36
84432000,84428000,4000000.0,1.0,0.13545816,12.548803,0.0,255,0,6,4,0,0,0,0,1,1,36
85432000,85428000,4000000.0,1.0,0.11254979,12.527887,0.0,255,0,6,4,0,0,0,0,1,1,36
86432000,86428000,4000000.0,1.0,0.11254979,12.647409,0.0,255,0,6,4,0,0,0,0,1,1,36
87432000,87428000,4000000.0,1.0,0.11254979,12.297808,0.0,255,0,6,4,0,0,0,0,1,1,36
88432000,88428000,4000000.0,1.0,0.11254979,12.567728,0.0,255,0,6,4,0,0,0,0,1,1,36
89428000,89424000,4000000.0,1.0,0.11254979,12.297808,0.0,255,0,6,4,0,0,0,0,1,1,36
90428000,90424000,4000000.0,1.0,0.16135457,12.7998,0.0,255,0,6,4,0,0,0,0,1,1,36
91428000,91424000,4000000.0,1.0,0.11254979,12.32968,0.0,255,0,6,4,0,0,0,0,1,1,36
92420000,92416000,4000000.0,1.0,0.11254979,12.615537,0.0,255,0,6,4,0,0,0,0,1,1,36
93420000,92416000,4000000.0,1.0,0.11254979,12.28486,0.0,255,0,6,4,0,0,0,0,1,1,36
94420000,94416000,4000000.0,1.0,0.11254979,12.580676,0.0,255,0,6,4,0,0,0,0,1,1,36
95416000,95412000,4000000.0,1.0,0.11254979,12.448206,0.0,255,0,6,4,0,0,0,0,1,1,36
96416000,96412000,4000000.0,1.0,0.13545816,12.647409,0.0,255,0,6,4,0,0,0,0,1,1,36
97316000,97316000,4000000.0,1.0,0.13545816,12.647409,0.0,255,0,6,4,0,0,0,0,1,1,36
98316000,98312000,4000000.0,1.0,0.13346612,12.297808,0.0,255,0,6,4,0,0,0,0,1,1,36
99316000,99312000,4000000.0,1.0,0.11254979,12.615537,0.0,255,0,6,4,0,0,0,0,1,1,36
100316000,100312000,4000000.0,1.0,0.13545816,12.297808,0.0,255,0,6,4,0,0,0,0,1,1,36
101316000,101312000,4000000.0,1.0,0.1384462,12.751991,0.0,255,0,6,4,0,0,0,0,1,1,36
102316000,102312000,4000000.0,1.0,0.11254979,12.316732,0.0,255,0,6,4,0,0,0,0,1,1,36
103316000,103312000,4000000.0,1.0,0.11254979,12.628485,0.0,255,0,6,4,0,0,0,0,1,1,36
104316000,104312000,4000000.0,1.0,0.11254979,12.28486,0.0,255,0,6,4,0,0,0,0,1,1,36
105316000,105312000,4000000.0,1.0,0.11254979,12.615537,0.0,255,0,6,4,0,0,0,0,1,1,36
106316000,106312000,4000000.0,1.0,0.13545816,12.461154,0.0,255,0,6,4,0,0,0,0,1,1,36
107316000,107312000,4000000.0,1.0,0.11254979,12.599601,0.0,255,0,6,4,0,0,0,0,1,1,36
108312000,108308000,4000000.0,1.0,0.11254979,12.28486,0.0,255,0,6,4,0,0,0,0,1,1,36
109312000,109308000,4000000.0,1.0,0.11254979,12.624501,0.0,255,0,6,4,0,0,0,0,1,1,36
110312000,110308000,4000000.0,1.0,0.11254979,12.2748995,0.0,255,0,6,4,0,0,0,0,1,1,36
111308000,111304000,4000000.0,1.0,0.1384462,12.7998,0.0,255,0,6,4,0,0,0,0,1,1,36
112308000,112304000,4000000.0,1.0,0.13545816,12.32968,0.0,255,0,6,4,0,0,0,0,1,1,36
