timestamp,error_count,device_id,temperature,clipping[0],clipping[1],clipping[2],full_scale_range,vibration_metric,coning_vibration,measure_rate,rotation
48952000,0,2294028,11.175537,0,0,0,34.906586,2.2147278e-05,8.5339036e-10,1000,0
49952000,0,2294028,11.176178,0,0,0,34.906586,2.386379e-05,6.761482e-10,1000,0
50952000,0,2294028,11.176453,0,0,0,34.906586,2.3860242e-05,6.0019195e-10,1000,0
51952000,0,2294028,11.176514,0,0,0,34.906586,2.6024969e-05,5.737211e-10,1000,0
52952000,0,2294028,11.176453,0,0,0,34.906586,2.442503e-05,5.3588023e-10,1000,0
53952000,0,2294028,11.1763,0,0,0,34.906586,2.388166e-05,5.374058e-10,1000,0
54952000,0,2294028,11.176117,0,0,0,34.906586,2.5101474e-05,5.952121e-10,1000,0
55952000,0,2294028,11.175995,0,0,0,34.906586,2.3220919e-05,5.3069416e-10,1000,0
56952000,0,2294028,11.175964,0,0,0,34.906586,2.4591955e-05,6.603624e-10,1000,0
57952000,0,2294028,11.175964,0,0,0,34.906586,2.304077e-05,5.107796e-10,1000,0
58952000,0,2294028,11.175964,0,0,0,34.906586,2.5491807e-05,6.572428e-10,1000,0
59952000,0,2294028,11.175964,0,0,0,34.906586,2.5320423e-05,6.4438427e-10,1000,0
60952000,0,2294028,11.176025,0,0,0,34.906586,2.4478184e-05,6.089739e-10,1000,0
61952000,0,2294028,11.176086,0,0,0,34.906586,2.5013169e-05,6.1556343e-10,1000,0
62972000,0,2294028,11.176086,0,0,0,34.906586,2.454572e-05,5.732613e-10,1000,0
63996000,0,2294028,11.176086,0,0,0,34.906586,2.3684852e-05,6.038875e-10,1000,0
64924000,0,2294028,11.176056,0,0,0,34.906586,2.553186e-05,6.574783e-10,1000,0
65936000,0,2294028,11.176086,0,0,0,34.906586,2.3978235e-05,6.028349e-10,1000,0
66936000,0,2294028,11.176147,0,0,0,34.906586,2.3386356e-05,5.832071e-10,1000,0
67936000,0,2294028,11.176239,0,0,0,34.906586,2.3692748e-05,5.469497e-10,1000,0
68936000,0,2294028,11.176361,0,0,0,34.906586,2.316864e-05,5.042062e-10,1000,0
69936000,0,2294028,11.176483,0,0,0,34.906586,2.254357e-05,5.3695765e-10,1000,0
70936000,0,2294028,11.176666,0,0,0,34.906586,2.3068313e-05,5.836736e-10,1000,0
71936000,0,2294028,11.176727,0,0,0,34.906586,2.3621822e-05,5.5118143e-10,1000,0
72936000,0,2294028,11.176697,0,0,0,34.906586,2.4600527e-05,5.683917e-10,1000,0
73936000,0,2294028,11.176666,0,0,0,34.906586,2.384264e-05,6.0381056e-10,1000,0
74936000,0,2294028,11.176636,0,0,0,34.906586,2.3560213e-05,5.8634797e-10,1000,0
75936000,0,2294028,11.176605,0,0,0,34.906586,2.4635447e-05,6.0265287e-10,1000,0
76936000,0,2294028,11.176544,0,0,0,34.906586,2.522415e-05,6.919983e-10,1000,0
77936000,0,2294028,11.176483,0,0,0,34.906586,2.4340843e-05,6.767711e-10,1000,0
78936000,0,2294028,11.176392,0,0,0,34.906586,2.5710604e-05,6.422126e-10,1000,0
79936000,0,2294028,11.1763,0,0,0,34.906586,2.4955416e-05,6.167486e-10,1000,0
80936000,0,2294028,11.17627,0,0,0,34.906586,2.558039e-05,6.4678984e-10,1000,0
81936000,0,2294028,11.1762085,0,0,0,34.906586,2.420378e-05,6.545456e-10,1000,0
82936000,0,2294028,11.1762085,0,0,0,34.906586,2.482022e-05,7.293155e-10,1000,0
83936000,0,2294028,11.176239,0,0,0,34.906586,2.5331776e-05,1.3657387e-09,1000,0
84936000,0,2294028,11.176361,0,0,0,34.906586,2.3899645e-05,9.473966e-10,1000,0
85936000,0,2294028,11.176483,0,0,0,34.906586,2.2805973e-05,8.4799556e-10,1000,0
86936000,0,2294028,11.176666,0,0,0,34.906586,2.4017452e-05,1.299902e-09,1000,0
87936000,0,2294028,11.17691,0,0,0,34.906586,2.6783473e-05,1.5663527e-08,1000,0
88936000,0,2294028,11.178406,0,0,0,34.906586,2.7783193e-05,1.969039e-08,1000,0
89936000,0,2294028,11.180664,0,0,0,34.906586,2.3739072e-05,9.1538785e-09,1000,0
90936000,0,2294028,11.183685,0,0,0,34.906586,2.3180584e-05,1.2700326e-08,1000,0
91936000,0,2294028,11.188629,0,0,0,34.906586,2.4356936e-05,1.9600012e-08,1000,0
92936000,0,2294028,11.19574,0,0,0,34.906586,2.5595504e-05,2.6777764e-08,1000,0
93936000,0,2294028,11.203613,0,0,0,34.906586,2.435552e-05,3.0104847e-08,1000,0
94936000,0,2294028,11.210968,0,0,0,34.906586,2.4251209e-05,2.805485e-08,1000,0
95936000,0,2294028,11.217804,0,0,0,34.906586,2.3975657e-05,2.7937833e-08,1000,0
96936000,0,2294028,11.220856,0,0,0,34.906586,2.3869557e-05,3.987119e-08,1000,0
97936000,0,2294028,11.213379,0,0,0,34.906586,2.4369052e-05,4.1154955e-08,1000,0
98936000,0,2294028,11.197815,0,0,0,34.906586,2.353945e-05,2.993305e-08,1000,0
99936000,0,2294028,11.183472,0,0,0,34.906586,2.1369922e-05,1.6323352e-08,1000,0
100936000,0,2294028,11.175262,0,0,0,34.906586,2.2963522e-05,1.0924492e-08,1000,0
101936000,0,2294028,11.172516,0,0,0,34.906586,2.570947e-05,8.39392e-09,1000,0
102936000,0,2294028,11.172333,0,0,0,34.906586,2.4562176e-05,7.862678e-09,1000,0
103936000,0,2294028,11.172302,0,0,0,34.906586,2.300749e-05,9.482799e-09,1000,0
104936000,0,2294028,11.171265,0,0,0,34.906586,2.5049683e-05,1.39622225e-08,1000,0
105936000,0,2294028,11.169403,0,0,0,34.906586,2.3804574e-05,1.4627864e-08,1000,0
106936000,0,2294028,11.167633,0,0,0,34.906586,2.4029117e-05,1.4310687e-08,1000,0
107936000,0,2294028,11.166626,0,0,0,34.906586,2.4277395e-05,1.2789633e-08,1000,0
108936000,0,2294028,11.166229,0,0,0,34.906586,2.4608347e-05,1.2247524e-08,1000,0
109936000,0,2294028,11.165955,0,0,0,34.906586,2.4497867e-05,1.3288236e-08,1000,0
110936000,0,2294028,11.16568,0,0,0,34.906586,2.4498231e-05,1.422142e-08,1000,0
111936000,0,2294028,11.165466,0,0,0,34.906586,2.417723e-05,1.5958873e-08,1000,0
112936000,0,2294028,11.165497,0,0,0,34.906586,2.2278995e-05,1.486876e-08,1000,0
113936000,0,2294028,11.165894,0,0,0,34.906586,2.2656015e-05,1.5520122e-08,1000,0
114936000,0,2294028,11.166901,0,0,0,34.906586,2.5238185e-05,1.602315e-08,1000,0
115936000,0,2294028,11.168701,0,0,0,34.906586,2.565079e-05,1.5159102e-08,1000,0
116936000,0,2294028,11.171326,0,0,0,34.906586,2.532981e-05,1.427737e-08,1000,0
117936000,0,2294028,11.174927,0,0,0,34.906586,2.351969e-05,1.334135e-08,1000,0
118936000,0,2294028,11.179718,0,0,0,34.906586,2.4823214e-05,1.504949e-08,1000,0
119936000,0,2294028,11.185608,0,0,0,34.906586,2.3621817e-05,1.507558e-08,1000,0
120936000,0,2294028,11.191803,0,0,0,34.906586,2.287431e-05,1.716177e-08,1000,0
121936000,0,2294028,11.19693,0,0,0,34.906586,3.1971827e-05,5.9584444e-08,1000,0
122936000,0,2294028,11.19397,0,0,0,34.906586,2.8809778e-05,5.6346135e-08,1000,0
123936000,0,2294028,11.185883,0,0,0,34.906586,2.4870513e-05,3.8802153e-08,1000,0
124936000,0,2294028,11.180481,0,0,0,34.906586,2.5607236e-05,3.283113e-08,1000,0
125936000,0,2294028,11.179413,0,0,0,34.906586,2.3588136e-05,2.6155677e-08,1000,0
126940000,0,2294028,11.18103,0,0,0,34.906586,2.5597095e-05,2.861209e-08,1000,0
127952000,0,2294028,11.183655,0,0,0,34.906586,2.5292478e-05,2.9241926e-08,1000,0
128964000,0,2294028,11.185699,0,0,0,34.906586,2.4970801e-05,2.3817924e-08,1000,0
129976000,0,2294028,11.186005,0,0,0,34.906586,2.4195942e-05,1.7381868e-08,1000,0
130988000,0,2294028,11.184204,0,0,0,34.906586,2.5721862e-05,1.2662802e-08,1000,0
